id_network,REId,Företag,DMU,in_reference,in_data_modeller
1,REL00001,Ale El ek. för.,1,True,True
3,REL00003,Almnäs Bruk AB,2,True,True
4,REL00004,Alvesta Elnät AB,3,True,True
5,REL00005,Arvika Teknik AB,4,True,True
7,REL00007,Bengtsfors Energi Nät AB,5,True,True
8,REL00008,Bergs Tingslags Elektriska AB,6,True,True
10,REL00010,Bjäre Kraft ek. för.,7,True,True
11,REL00011,Bjärke Energi ek. för.,8,True,True
12,REL00012,Upplands Energi ek. för.,9,True,True
14,REL00014,Blåsjön Nät AB,10,True,True
15,REL00015,Bodens Energi Nät AB,11,True,True
16,REL00016,Boo Energi ek. för.,12,True,True
17,REL00017,Borgholm Energi Elnät AB,13,True,True
18,REL00018,AB Borlänge Energi Elnät,14,True,True
19,REL00019,Borås Elnät AB,15,True,True
21,REL00021,Bromölla Energi och Vatten AB,16,True,True
23,REL00023,C4 Elnät AB,17,True,True
24,REL00024,Carlfors Bruk E Björklund & Co KB,18,True,True
25,REL00025,Degerfors Energi AB,19,True,True
29,REL00029,Övertorneå Energi AB,20,True,True
30,REL00030,Eksjö Elnät AB,21,True,True
31,REL00031,Emmaboda Elnät AB,22,True,True
33,REL00033,Halmstads Energi och Miljö Nät AB,23,True,True
35,REL00035,Eskilstuna Energi och Miljö Elnät AB,24,True,True
37,REL00037,Falbygdens Energi Nät AB,25,True,True
38,REL00038,Falkenberg Energi AB,26,True,True
40,REL00040,Filipstad Energinät AB,27,True,True
43,REL00043,Gislaved Energi Elnät AB,28,True,True
49,REL00049,Grästorps Energi ek. för.,29,True,True
62,REL00062,Göteborg Energi Nät AB,30,True,True
64,REL00064,Habo Kraft AB,31,True,True
67,REL00067,Hallstaviks Elverk ek. för.,32,True,True
72,REL00072,Herrljunga Elektriska AB,33,True,True
74,REL00074,Hjärtums Elförening ek. för.,34,True,True
75,REL00075,Hofors Elverk AB,35,True,True
77,REL00077,Härnösand Elnät AB,36,True,True
78,REL00078,Härryda Energi AB,37,True,True
80,REL00080,Höganäs Energi AB,38,True,True
83,REL00083,Jukkasjärvi Sockens Belysningsförening u.p.a.,39,True,True
85,REL00085,Jämtkraft Elnät AB,40,True,True
86,REL00086,Jönköping Energinät AB,41,True,True
87,REL00087,Kalmar Energi Elnät AB,42,True,True
90,REL00090,Karlskoga Elnät AB,43,True,True
91,REL00091,Affärsverken Elnät i Karlskrona AB,44,True,True
92,REL00092,Karlstads El- och Stadsnät AB,45,True,True
93,REL00093,Tekniska verken Katrineholm Nät AB,46,True,True
98,REL00098,Kristinehamns Elnät AB,47,True,True
100,REL00100,Kungälv Energi AB,48,True,True
103,REL00103,Landskrona Energi AB,49,True,True
106,REL00106,Lerum Energi AB,50,True,True
111,REL00111,Tekniska verken Linköping Nät AB,51,True,True
112,REL00112,Ljungby Energinät AB,52,True,True
113,REL00113,Ljusdal Elnät AB,53,True,True
118,REL00118,Luleå Energi Elnät AB,54,True,True
121,REL00121,LEVA i Lysekil AB,55,True,True
123,REL00123,Malung-Sälens Elnät AB,56,True,True
126,REL00126,Mellersta Skånes Kraft ek. för.,57,True,True
127,REL00127,Mjölby Kraftnät AB,58,True,True
128,REL00128,Mölndal Energi Nät AB,59,True,True
130,REL00130,Nacka Energi AB,60,True,True
133,REL00133,Norrtälje Energi AB,61,True,True
135,REL00135,Nossebroortens Energi ek. för.,62,True,True
137,REL00137,Nybro Elnät AB,63,True,True
139,REL00139,Näckåns Elnät AB,64,True,True
141,REL00141,Nässjö Affärsverk Elnät AB,65,True,True
143,REL00143,Olofströms Kraft Nät AB,66,True,True
