reid,nf_norm,nf_obs,ug_norm,ug_obs,k_upstream,cemi4_norm,cemi4_obs,aif_a_1_obs,aif_a_2_obs,aif_a_3_obs,aif_a_4_obs,aif_a_5_obs,aif_a_6_obs,aif_o_1_obs,aif_o_2_obs,aif_o_3_obs,aif_o_4_obs,aif_o_5_obs,aif_o_6_obs,aif_a_1_norm,aif_a_2_norm,aif_a_3_norm,aif_a_4_norm,aif_a_5_norm,aif_a_6_norm,aif_o_1_norm,aif_o_2_norm,aif_o_3_norm,aif_o_4_norm,aif_o_5_norm,aif_o_6_norm,ait_a_1_obs,ait_a_2_obs,ait_a_3_obs,ait_a_4_obs,ait_a_5_obs,ait_a_6_obs,ait_o_1_obs,ait_o_2_obs,ait_o_3_obs,ait_o_4_obs,ait_o_5_obs,ait_o_6_obs,ait_a_1_norm,ait_a_2_norm,ait_a_3_norm,ait_a_4_norm,ait_a_5_norm,ait_a_6_norm,ait_o_1_norm,ait_o_2_norm,ait_o_3_norm,ait_o_4_norm,ait_o_5_norm,ait_o_6_norm,e_in,reid_original,year,ame_1,ame_2,ame_3,ame_4,ame_5,ame_6,capcost,kpi,inc_aif_a_1,inc_aif_a_2,inc_aif_a_3,inc_aif_a_4,inc_aif_a_5,inc_aif_a_6,inc_aif_o_1,inc_aif_o_2,inc_aif_o_3,inc_aif_o_4,inc_aif_o_5,inc_aif_o_6,inc_ait_a_1,inc_ait_a_2,inc_ait_a_3,inc_ait_a_4,inc_ait_a_5,inc_ait_a_6,inc_ait_o_1,inc_ait_o_2,inc_ait_o_3,inc_ait_o_4,inc_ait_o_5,inc_ait_o_6,inc_inter,cemi4_diff,cemi4_adj_factor,inter_incentive_a,k_nf,loss_incentive_a,util_incentive_a,max_adj,inter_incentive,loss_incentive,util_incentive,incentive_total_year,incentive_total,inter_incentive_sum,loss_incentive_sum,util_incentive_sum
1,.0393,.038985491,.5014999999999999,.4041,19612000,.0852,.1390776876415991,.8795419653826737,.0859091002368499,.1027819478789311,.0569072998216132,.3314046865490004,,3.276144422162119,.767851814598567,1.088770822616555,1.296064795590828,1.798478038324679,,.9086,.2614,.295,.2857,.4211,,2.5972,.5647,.7067,.6929,1.0869,,1.461828758642918,.1425633087764532,.1433755929496867,.1281811500150762,.5566721480997605,,4.958271757121317,.7673627520735214,.9108315962122761,1.146403565849163,2.28374417326663,,1.4152,.418,.2069,.1837,.4559,,4.2289,.5333,.7063,.6582,1.4553,,196509,1,2024,558.4212328767123,3727.09703196347,4405.272945205479,1758.082305936073,11072.10810502283,,1000000,1.1546,32.224648,15640.008,5807.4438,427.26837,2121.3062,,-4281.2104,-61851.383,-34552.543,-9366.3027,-17738.588,,-423.90295,90081.922,25625.535,4924.8462,-6415.5181,,-16153.594,-161118.7,-182117.52,-96096.844,-61849.754,,-507305.31,-.053877689,.053877689,-507305.31,753.44,34924.141,-1910208.8,333333.34,-333333.34,34924.141,-333333.34,-333333.34,-1333333.4,-1333333.4,139696.56,-1333333.4
1,.0393,.038985491,.5014999999999999,.4041,19612000,.0852,.1390776876415991,.8795419653826737,.0859091002368499,.1027819478789311,.0569072998216132,.3314046865490004,,3.276144422162119,.767851814598567,1.088770822616555,1.296064795590828,1.798478038324679,,.6898,.2025,.2269,.2207,.333,,2.1085,.4953,.6213,.6106,.9601,,1.461828758642918,.1425633087764532,.1433755929496867,.1281811500150762,.5566721480997605,,4.958271757121317,.7673627520735214,.9108315962122761,1.146403565849163,2.28374417326663,,1.0535,.3188,.1731,.1571,.3728,,3.2346,.4716,.5999,.5599,1.2045,,196509,1,2025,558.4212328767123,3727.09703196347,4405.272945205479,1758.082305936073,11072.10810502283,,1000000,1.1546,-210.41917,10390.753,3749.9526,305.88144,37.729378,,-7362.7993,-82980.828,-42275.684,-10644.306,-20899.523,,-3712.1248,57638.438,11990.728,2565.2708,-11705.964,,-38174.625,-203590.33,-276857.41,-115445.98,-80573.906,,-807755.13,-.053877689,.053877689,-807755.13,753.44,34924.141,-1910208.8,333333.34,-333333.34,34924.141,-333333.34,-333333.34,-1333333.4,-1333333.4,139696.56,-1333333.4
1,.0393,.038985491,.5014999999999999,.4041,19612000,.0852,.1390776876415991,.8795419653826737,.0859091002368499,.1027819478789311,.0569072998216132,.3314046865490004,,3.276144422162119,.767851814598567,1.088770822616555,1.296064795590828,1.798478038324679,,.471,.1436,.1588,.1556,.245,,1.6198,.426,.5359,.5284,.8333,,1.461828758642918,.1425633087764532,.1433755929496867,.1281811500150762,.5566721480997605,,4.958271757121317,.7673627520735214,.9108315962122761,1.146403565849163,2.28374417326663,,.6919,.2196,.1393,.1305,.2897,,2.2403,.41,.4934,.4616,.9537,,196509,1,2026,558.4212328767123,3727.09703196347,4405.272945205479,1758.082305936073,11072.10810502283,,1000000,1.1546,-453.06302,5141.498,1692.4617,184.30775,-2043.4824,,-10444.388,-104079.84,-49998.828,-11920.757,-24060.459,,-6999.4375,25194.949,-1644.0807,205.69553,-16996.41,,-60195.656,-245993.11,-371686.38,-134795.13,-99298.07,,-1108190.1,-.053877689,.053877689,-1108190.1,753.44,34924.141,-1910208.8,333333.34,-333333.34,34924.141,-333333.34,-333333.34,-1333333.4,-1333333.4,139696.56,-1333333.4
1,.0393,.038985491,.5014999999999999,.4041,19612000,.0852,.1390776876415991,.8795419653826737,.0859091002368499,.1027819478789311,.0569072998216132,.3314046865490004,,3.276144422162119,.767851814598567,1.088770822616555,1.296064795590828,1.798478038324679,,.2522,.0847,.0907,.0906,.1569,,1.131,.3567,.4504,.4461,.7065,,1.461828758642918,.1425633087764532,.1433755929496867,.1281811500150762,.5566721480997605,,4.958271757121317,.7673627520735214,.9108315962122761,1.146403565849163,2.28374417326663,,.3302,.1205,.1055,.1039,.2066,,1.2461,.3483,.387,.3633,.7029,,196509,1,2027,558.4212328767123,3727.09703196347,4405.272945205479,1758.082305936073,11072.10810502283,,1000000,1.1546,-695.70685,-107.7568,-365.02936,62.920826,-4127.0591,,-13526.607,-125178.84,-57731.012,-13198.76,-27221.396,,-10287.659,-7215.8335,-15278.889,-2153.8796,-22286.855,,-82214.477,-288464.72,-466426.28,-154144.27,-118022.23,,-1408584.3,-.053877689,.053877689,-1408584.3,753.44,34924.141,-1910208.8,333333.34,-333333.34,34924.141,-333333.34,-333333.34,-1333333.4,-1333333.4,139696.56,-1333333.4
4,.03,.026225694,.8561,.59210002,21705000,.0062,0,0,.0016240628039531,0,0,.0021531323667276,,.1534589338809094,.3098800636884979,.257725813126109,.2598399759204088,.1736505520210436,,.0887,.0392,.0457,.0596,.1416,,.5041,.2295,.3311,.4108,.4815,,0,.0003924818442887,0,0,.0005203403219592,,.3529555479260915,.1202547285125791,.1197824141354477,.1003485379587189,.1390272586410148,,.0506,.0251,.0257,.03,.0939,,.5434,.0843,.2365,.4006,.5798,,120340,4,2024,191.8514840182648,6347.461301369863,2345.621347031964,781.2751141552511,3612.131506849315,,1000000,1.1546,33.794716,5703.2388,735.17737,49.461769,1075.9092,,759.62341,-41677.957,3533.1699,1041.739,2503.6182,,158.03976,13761.771,5520.1455,1182.601,1939.4418,,1449.0781,-42150.141,55336.629,26263.832,10735.511,,47954.688,.0062000002,.0062000002,47954.688,753.44,256659.36,-5730119.5,333333.34,47954.688,256659.36,-333333.34,-28719.297,-114877.19,191818.75,1026637.4,-1333333.4
4,.03,.026225694,.8561,.59210002,21705000,.0062,0,0,.0016240628039531,0,0,.0021531323667276,,.1534589338809094,.3098800636884979,.257725813126109,.2598399759204088,.1736505520210436,,.0887,.0392,.0457,.0596,.1416,,.5041,.2295,.3311,.4108,.4815,,0,.0003924818442887,0,0,.0005203403219592,,.3529555479260915,.1202547285125791,.1197824141354477,.1003485379587189,.1390272586410148,,.0506,.0251,.0257,.03,.0939,,.5434,.0843,.2365,.4006,.5798,,120340,4,2025,191.8514840182648,6347.461301369863,2345.621347031964,781.2751141552511,3612.131506849315,,1000000,1.1546,33.794716,5703.2388,735.17737,49.461769,1075.9092,,759.62341,-41677.957,3533.1699,1041.739,2503.6182,,158.03976,13761.771,5520.1455,1182.601,1939.4418,,1449.0781,-42150.141,55336.629,26263.832,10735.511,,47954.688,.0062000002,.0062000002,47954.688,753.44,256659.36,-5730119.5,333333.34,47954.688,256659.36,-333333.34,-28719.297,-114877.19,191818.75,1026637.4,-1333333.4
4,.03,.026225694,.8561,.59210002,21705000,.0062,0,0,.0016240628039531,0,0,.0021531323667276,,.1534589338809094,.3098800636884979,.257725813126109,.2598399759204088,.1736505520210436,,.0887,.0392,.0457,.0596,.1416,,.5041,.2295,.3311,.4108,.4815,,0,.0003924818442887,0,0,.0005203403219592,,.3529555479260915,.1202547285125791,.1197824141354477,.1003485379587189,.1390272586410148,,.0506,.0251,.0257,.03,.0939,,.5434,.0843,.2365,.4006,.5798,,120340,4,2026,191.8514840182648,6347.461301369863,2345.621347031964,781.2751141552511,3612.131506849315,,1000000,1.1546,33.794716,5703.2388,735.17737,49.461769,1075.9092,,759.62341,-41677.957,3533.1699,1041.739,2503.6182,,158.03976,13761.771,5520.1455,1182.601,1939.4418,,1449.0781,-42150.141,55336.629,26263.832,10735.511,,47954.688,.0062000002,.0062000002,47954.688,753.44,256659.36,-5730119.5,333333.34,47954.688,256659.36,-333333.34,-28719.297,-114877.19,191818.75,1026637.4,-1333333.4
4,.03,.026225694,.8561,.59210002,21705000,.0062,0,0,.0016240628039531,0,0,.0021531323667276,,.1534589338809094,.3098800636884979,.257725813126109,.2598399759204088,.1736505520210436,,.0887,.0392,.0457,.0596,.1416,,.5041,.2295,.3311,.4108,.4815,,0,.0003924818442887,0,0,.0005203403219592,,.3529555479260915,.1202547285125791,.1197824141354477,.1003485379587189,.1390272586410148,,.0506,.0251,.0257,.03,.0939,,.5434,.0843,.2365,.4006,.5798,,120340,4,2027,191.8514840182648,6347.461301369863,2345.621347031964,781.2751141552511,3612.131506849315,,1000000,1.1546,33.794716,5703.2388,735.17737,49.461769,1075.9092,,759.62341,-41677.957,3533.1699,1041.739,2503.6182,,158.03976,13761.771,5520.1455,1182.601,1939.4418,,1449.0781,-42150.141,55336.629,26263.832,10735.511,,47954.688,.0062000002,.0062000002,47954.688,753.44,256659.36,-5730119.5,333333.34,47954.688,256659.36,-333333.34,-28719.297,-114877.19,191818.75,1026637.4,-1333333.4
5,.0348,.029664073,.5064,.45930001,12321000,.0001,0,0,.0027086782261111,.0034403460591392,.0002082999519308,.0293335351125247,,.7840887066336159,.046338590927037,.0476469012512333,.163612546949497,.1147588548619798,,0,.0039,.0283,.0437,.0602,,.595,.2779,.1267,.2077,.2342,,0,.0014153407847844,.0044490213704143,.0001440741334188,.0581813148403829,,.7710205615230555,.0860460221493941,.0818556030352444,.2445787109290394,.1710515873214091,,0,.0075,.0465,.0617,.1104,,.3011,.0738,.0751,.1617,.1947,,142799,5,2026,11.19075342465753,3973.024086757991,3943.63401826484,1809.60502283105,6627.495662100457,,1000000,1.1546,0,113.17798,672.37213,83.600632,436.95795,,-23.894356,75152.836,6399.9829,704.67975,1782.2539,,0,2121.3025,15185.609,5620.3926,1989.9231,,-208.56531,-8985.8506,-5384.9194,-16791.742,1056.8074,,79924.922,.000099999997,.000099999997,79924.922,753.44,414432.63,-580318.94,333333.34,79924.922,333333.34,-333333.34,79924.922,319699.69,319699.69,1333333.4,-1333333.4
5,.0348,.029664073,.5064,.45930001,12321000,.0001,0,0,.0027086782261111,.0034403460591392,.0002082999519308,.0293335351125247,,.7840887066336159,.046338590927037,.0476469012512333,.163612546949497,.1147588548619798,,0,.0039,.0283,.0437,.0602,,.595,.2779,.1267,.2077,.2342,,0,.0014153407847844,.0044490213704143,.0001440741334188,.0581813148403829,,.7710205615230555,.0860460221493941,.0818556030352444,.2445787109290394,.1710515873214091,,0,.0075,.0465,.0617,.1104,,.3011,.0738,.0751,.1617,.1947,,142799,5,2024,11.19075342465753,3973.024086757991,3943.63401826484,1809.60502283105,6627.495662100457,,1000000,1.1546,0,113.17798,672.37213,83.600632,436.95795,,-23.894356,75152.836,6399.9829,704.67975,1782.2539,,0,2121.3025,15185.609,5620.3926,1989.9231,,-208.56531,-8985.8506,-5384.9194,-16791.742,1056.8074,,79924.922,.000099999997,.000099999997,79924.922,753.44,414432.63,-580318.94,333333.34,79924.922,333333.34,-333333.34,79924.922,319699.69,319699.69,1333333.4,-1333333.4
