reid,nf_norm,nf_obs,ug_norm,ug_obs,k_upstream,cemi4_norm,cemi4_obs,aif_a_1_obs,aif_a_2_obs,aif_a_3_obs,aif_a_4_obs,aif_a_5_obs,aif_a_6_obs,aif_o_1_obs,aif_o_2_obs,aif_o_3_obs,aif_o_4_obs,aif_o_5_obs,aif_o_6_obs,aif_a_1_norm,aif_a_2_norm,aif_a_3_norm,aif_a_4_norm,aif_a_5_norm,aif_a_6_norm,aif_o_1_norm,aif_o_2_norm,aif_o_3_norm,aif_o_4_norm,aif_o_5_norm,aif_o_6_norm,ait_a_1_obs,ait_a_2_obs,ait_a_3_obs,ait_a_4_obs,ait_a_5_obs,ait_a_6_obs,ait_o_1_obs,ait_o_2_obs,ait_o_3_obs,ait_o_4_obs,ait_o_5_obs,ait_o_6_obs,ait_a_1_norm,ait_a_2_norm,ait_a_3_norm,ait_a_4_norm,ait_a_5_norm,ait_a_6_norm,ait_o_1_norm,ait_o_2_norm,ait_o_3_norm,ait_o_4_norm,ait_o_5_norm,ait_o_6_norm,e_in,reid_original,year,ame_1,ame_2,ame_3,ame_4,ame_5,ame_6,capcost
1,.0393,.038985491,.5014999999999999,.4041,19612000,.0852,.1390776876415991,.8795419653826737,.0859091002368499,.1027819478789311,.0569072998216132,.3314046865490004,,3.276144422162119,.767851814598567,1.088770822616555,1.296064795590828,1.798478038324679,,.9086,.2614,.295,.2857,.4211,,2.5972,.5647,.7067,.6929,1.0869,,1.461828758642918,.1425633087764532,.1433755929496867,.1281811500150762,.5566721480997605,,4.958271757121317,.7673627520735214,.9108315962122761,1.146403565849163,2.28374417326663,,1.4152,.418,.2069,.1837,.4559,,4.2289,.5333,.7063,.6582,1.4553,,196509,1,2024,558.4212328767123,3727.09703196347,4405.272945205479,1758.082305936073,11072.10810502283,,1000000
4,.03,.026225694,.8561,.59210002,21705000,.0062,0,0,.0016240628039531,0,0,.0021531323667276,,.1534589338809094,.3098800636884979,.257725813126109,.2598399759204088,.1736505520210436,,.0887,.0392,.0457,.0596,.1416,,.5041,.2295,.3311,.4108,.4815,,0,.0003924818442887,0,0,.0005203403219592,,.3529555479260915,.1202547285125791,.1197824141354477,.1003485379587189,.1390272586410148,,.0506,.0251,.0257,.03,.0939,,.5434,.0843,.2365,.4006,.5798,,120340,4,2024,191.8514840182648,6347.461301369863,2345.621347031964,781.2751141552511,3612.131506849315,,1000000
5,.0348,.029664073,.5064,.45930001,12321000,.0001,0,0,.0027086782261111,.0034403460591392,.0002082999519308,.0293335351125247,,.7840887066336159,.046338590927037,.0476469012512333,.163612546949497,.1147588548619798,,0,.0039,.0283,.0437,.0602,,.595,.2779,.1267,.2077,.2342,,0,.0014153407847844,.0044490213704143,.0001440741334188,.0581813148403829,,.7710205615230555,.0860460221493941,.0818556030352444,.2445787109290394,.1710515873214091,,0,.0075,.0465,.0617,.1104,,.3011,.0738,.0751,.1617,.1947,,142799,5,2024,11.19075342465753,3973.024086757991,3943.63401826484,1809.60502283105,6627.495662100457,,1000000
7,.0418,.028790787,.4885,.38690001,5047000,.0001,0,0,.1386869311102933,.034334193104989,.0113722638278558,.0804815646806608,,2,.0869320343109809,.6033312346082207,.3269625136679664,.9877501701315174,,.4303,.0725,.0452,.0268,.169,,.2626,.0041,.033,.0475,.1455,,0,.0336256052958247,.0220633348107399,.0073810113263601,.0548808942359218,,1.391270480795058,.0495964828949273,.392098697152812,.5702210686114721,.7137258294078263,,.9086,.0837,.0618,.0564,.2302,,.2349,.0026,.0262,.004,.0958,,28655,7,2024,1.558333333333333,518.8775114155251,857.409703196347,221.3287671232877,1583.015182648402,,1000000
8,.0318,.033969928,.322,.23549999,19859000,.1964,.2282814765250362,.1939366333677001,.4489801443077763,.035031818467728,.0149277147210249,.0979554927205166,,3.611720379402206,2.738774589097344,2.400132074116092,2.490092998132456,2.725563368175703,,.1201,.0408,.043,.0512,.1214,.3333,2.5858,1.012,1.0947,1.1912,1.7123,.3333,.4506799890882962,3.333303804379405,.0485673294752787,.0451046119310107,.2046627147090283,,1.395281129147133,1.198583011154958,.635449874403647,.6703296680316125,.8926448588888339,,.3451,.0491,.0733,.1041,.212,2.2111,.9787,.5747,.8552,.926,1.2643,.1611,261967,8,2024,241.5961187214612,1931.326826484018,4235.894748858447,1301.003196347032,9594.998059360731,,1000000
11,.0578,.046554986,.4593,.38240001,13471000,.0274,.1438519697572622,.4004261339552652,.1998693608083599,.1389202882424975,.3010803722106408,.3649883921983406,,1.299969669510699,1.342005857062113,.5168950568178816,.6711883676337668,1.005272604294548,,.2745,.179,.1389,.0762,.2082,,.5647,.8046,.625,.6004,.6048,,.7003163162333427,.6365905543159192,.1510574449013309,.276708917415982,.5636702963366336,,.982209836749124,1.194726578219646,.5724450581096999,.976769113413481,1.136967635095971,,.4073,.2368,.2051,.0837,.4043,,.6589,.6756,.5991,.5556,.6524,,72409,11,2024,302.9788812785388,1167.774200913242,799.7293378995433,546.2243150684932,5065.578310502283,,1000000
12,.0488,.04052439,.4675,.39019999,25279000,.122,.1479487925516439,.1076179378535773,.029710886017703,.0832225511825387,.124215072591029,.119625543853378,,1.790979476405552,.7193373415104695,1.400076189078211,1.263026542463263,1.671745575309633,,.2766,.2012,.1702,.1243,.1938,,1.3256,.3825,.947,.916,1.1275,,.2742690286143403,.0343804979976709,.1128762879501998,.3209365212774067,.2562183894199252,,1.095862387961988,.4105030912403191,.8028617449791691,.5892150993091773,.9137739761517749,,.3963,.5411,.2881,.2284,.3554,,2.233,.4001,1.0119,.9722,1.4858,,214192,12,2024,514.6154109589041,2097.804337899543,2793.458789954338,1046.780479452055,16984.96164383562,,1000000
14,.0629,.047548417,,0,274000,.4499,.4265873015873016,2.067144947373389,.5200018202324598,.5182035819425961,.7912090869939704,1.163087006294314,,5.595063010336526,1.772798699570633,2.339545218868365,2.856624345723182,3.981956836882819,,1.1345,1.2683,1.5577,1.3564,1.5801,,3.3755,2.4564,2.8518,2.9432,3.1077,,1.545213152719435,.2706079782823994,.6158814238251885,.536050687588801,.9461415643881995,,4.781320935793961,2.400265124154062,3.373980221358006,2.568074822673498,7.165936556438109,,1.5017,.4471,.6952,.6353,1.0579,,3.6147,2.2757,2.6078,2.452,3.7397,,23597,14,2024,12.09303652968037,198.1783105022831,392.3408675799087,165.4027397260274,1161.427283105023,,1000000
15,.0404,.019906284,.6016,.63569999,23667000,.2212,.2882603868404137,.6317560144942813,1.819288837694039,.2059290854206342,.4806943505888201,.6243136659106646,,2.763592604824712,2.852076611907393,1.387143734618106,1.590374552943031,2.515363826841865,,.2926,.0566,.0322,.234,.3006,,2.2949,.9615,.7926,1.572,2.9882,,.5312221956759197,1.861749192353419,.358153275045629,.3433794924940728,.4134548381830811,,2.39006027962626,3.308798109805673,1.282416119425853,1.684246564884137,2.48504068875461,,.3138,.0964,.67,.3305,.4918,,1.1803,.6141,.7613,1.0871,1.6185,,892482,15,2024,487.3595890410959,4864.969748858448,79084.82534246576,854.7785388127854,13362.51164383562,,1000000
16,.0415,.03503548,.5016,.4332,21756000,0,0,0,0,0,0,0,,.6968101579436358,.0288185628320316,.0395216673804668,.0363150553501173,.2031688356155029,,.2406,.0041,.0011,.007,.0093,,1.0769,.0974,.093,.1178,.1245,,0,0,0,0,0,,.6387426447816661,.0241378161240422,.0231878726828411,.0255456519440674,.1588568038811081,,.2927,.004,.0022,.0096,.0126,,1.1677,.0272,.0546,.1244,.0901,,240128,16,2024,2.211643835616438,1755.056164383562,6877.887214611872,1158.874429223744,16398.11232876712,,1000000
17,.0409,.035485338,.4128,.55449998,10276000,.0067,0,.9720241985242845,.0177835497139273,.2146269032362311,.0054675785354776,.2877485685012685,,0,0,.0002155971476795,0,.0027945962633846,,.3031,.2231,.2294,.2207,.2544,,.6819,.3774,.48,.4304,.5569,,2.392011712261,.0355670994278546,.4186769449151004,.0106070229883929,.5545722124112372,,0,0,.000431194295359,0,.0043975536252693,,.2414,.0681,.0872,.0576,.087,,1.0062,.648,.7044,.7060999999999999,.837,,57094,17,2024,156.3361872146119,198.7432648401827,1992.97796803653,546.5384703196347,3006.536187214612,,1000000
18,.0312,.029925445,.7819,.83130002,26913000,.0395,.1018699321529042,.1885412788151392,.1348077225967081,.1852394742521662,.1865206972963254,.2487128698606703,,1.595651069863918,.5128130979115108,.4734596229080433,.5961155857862727,1.239373931638494,,.1907,.0686,.1043,.1514,.1724,,1.15,.416,.4682,.6277,.7996,,.1449453691062615,.7382770820657015,.4749599994967454,.1506723470358087,.2115402186309372,,.9572509868369428,.2962732549834382,.3326563782252507,.3578283626306151,.7198241237736857,,.3044,.0312,.1307,.2323,.1782,,.8108,.3301,.3796,.3458,.6505,,462750,18,2024,800.2020547945206,7634.128652968036,21292.08847031964,4609.66997716895,15276.45479452055,,1000000
19,.0336,.029302683,.585,.46849999,37128000,.0088,0,.0743411690732794,.0362717348105698,.036675367943992,.033968902954863,.0413792005495813,,.1050075562860578,.0305511708064269,.049533511256684,.0734498231439276,.1873414760512143,,.1888,.0524,.082,.0622,.2505,,.6966,.3254,.5206,.6266,.8053,,.0673176379527797,.2087997904140634,.0949464274733511,.1255393779557591,.0239673521070198,,.1056120591706838,.0139028292405832,.0357592523413115,.0556122990970944,.1490800050206098,,.1045,.1515,.0418,.019,.0676,,.249,.1506,.2742,.3244,.4581,,555171,19,2024,41.39406392694064,13891.56381278539,24413.69897260274,7025.74497716895,18951.4095890411,,1000000
21,.0308,.030970732,.5673,.4664,8556000,0,0,0,0,0,0,.0008328443275115,,0,.0295094286716591,.2641701143773522,.0443788976727306,.129296046016334,,.0024,.0152,.0585,.009,.0989,,.2615,.2583,.4367,.3449,.4625,,0,0,0,0,.0013325509240183,,0,.0412287787748136,.3754370170741828,.0650758041594559,.2192359323820112,,.0047,.0255,.1732,.0114,.1865,,.7118,.2673,.7633,.5057,.7405,,63447,21,2024,153.0904109589041,2252.147602739726,1216.533105022831,530.0222602739726,3168.023401826484,,1000000
23,.0296,.027118733,.6827,.50160003,69131000,0,.0510872229419798,.2384192437839824,.4307551567824518,.2237446464032116,.0831561954571496,.0715632788161909,,.325844764653986,.1641860823819892,.5033891762567185,.5712130048970078,.4080483729112053,,.025,.0062,.0373,.022,.1623,,.0742,.0311,.0482,.1055,.0689,,.2837372526993296,.1443734705718708,.2050674978369753,.0714395418866426,.316954070699528,,.4343255017099532,.2115090101202615,.7101373798423132,.7543056167588693,.7027469565801017,,.0061,.0069,.0131,.0336,.0514,,.1725,.1461,.1101,.2794,.2665,,460641,23,2024,504.2439497716895,9886.2850456621,16715.09394977169,7496.213812785388,16419.82808219178,,1000000
24,.0485,.00085194426,.5596,.54000002,12000,0,0,,0,,,0,,,0,,,0,,.3121,.2293,.1464,.1701,.2385,,1.4144,0,.7171,.7249,0,,,0,,,0,,,0,,,0,,.5265,.1875,.2299,.1938,.1779,,1.6563,0,.6851,.7037,0,,16433,24,2024,,1708.469520547945,,,23.10616438356164,,1000000
