REId,name_full,name_short
REL00018,AB Borlänge Energi Elnät,Borlänge Energi
REL00149,AB PiteEnergi,PiteEnergi
REL00091,Affärsverken Elnät i Karlskrona AB,Affärsverken Karlskrona
RET03036,Affärsverket svenska kraftnät,Svenska kraftnät
REL00001,Ale El ek. för.,Ale El
REL03049,Alingsås Energi Elnät AB,Alingsås Energi
REL00003,Almnäs Bruk AB,Almnäs Bruk
REL00004,Alvesta Elnät AB,Alvesta Elnät
REL00005,Arvika Teknik AB,Arvika Teknik
REL00007,Bengtsfors Energi Nät AB,Bengtsfors Energi
REL00008,Bergs Tingslags Elektriska AB,Bergs Tingslags
REL00010,Bjäre Kraft ek. för.,Bjäre Kraft
REL00011,Bjärke Energi ek. för.,Bjärke Energi
REL00014,Blåsjön Nät AB,Blåsjön Nät
REL00015,Bodens Energi Nät AB,Bodens Energi
REL00016,Boo Energi ek. för.,Boo Energi
REL00017,Borgholm Energi Elnät AB,Borgholm Energi
REL00019,Borås Elnät AB,Borås Elnät
REL01012,Brittedals Elnät ek. för.,Brittedals Elnät
REL00021,Bromölla Energi och Vatten AB,Bromölla Energi
REL00023,C4 Elnät AB,C4 Elnät
REL00024,Carlfors Bruk E Björklund & Co KB,Carlfors Bruk
REL03009,Dala Energi Elnät AB,Dala Energi
REL00025,Degerfors Energi AB,Degerfors Energi
REL03028,E.ON Energidistribution AB,E.ON
REL00030,Eksjö Elnät AB,Eksjö Elnät
REL03035,Ellevio AB,Ellevio
REL00031,Emmaboda Elnät AB,Emmaboda Elnät
REL00035,Eskilstuna Energi och Miljö Elnät AB,Eskilstuna Energi
REL00037,Falbygdens Energi Nät AB,Falbygdens Energi
REL00038,Falkenberg Energi AB,Falkenberg Energi
REL03015,Falu Elnät AB,Falu Elnät
REL00040,Filipstad Energinät AB,Filipstad Energi
REL00043,Gislaved Energi Elnät AB,Gislaved Energi
REL00945,Gotlands Elnät AB,Gotlands Elnät
REL00049,Grästorps Energi ek. för.,Grästorps Energi
REL00885,Gävle Energi AB,Gävle Energi
REL00062,Göteborg Energi Nät AB,Göteborg Energi
REL00585,Götene Elförening ek. för.,Götene Elförening
REL00064,Habo Kraft AB,Habo Kraft
REL00067,Hallstaviks Elverk ek. för.,Hallstaviks Elverk
REL00033,Halmstads Energi och Miljö Nät AB,Halmstads Energi
REL00938,Hedemora Elnät AB,Hedemora Elnät
REL00072,Herrljunga Elektriska AB,Herrljunga Elektriska
REL03041,Hjo Elnät AB,Hjo Elnät
REL00074,Hjärtums Elförening ek. för.,Hjärtums Elförening
REL00075,Hofors Elverk AB,Hofors Elverk
REL00576,Härjeåns Nät AB,Härjeåns
REL00077,Härnösand Elnät AB,Härnösand Elnät
REL00078,Härryda Energi AB,Härryda Energi
REL00080,Höganäs Energi AB,Höganäs Energi
REL00083,Jukkasjärvi Sockens Belysningsförening u.p.a.,Jukkasjärvi
REL00085,Jämtkraft Elnät AB,Jämtkraft
REL00086,Jönköping Energinät AB,Jönköping Energi
REL00087,Kalmar Energi Elnät AB,Kalmar Energi
REL03043,Karlsborgs Elnät AB,Karlsborgs Elnät
REL03047,Karlshamn Elnät AB,Karlshamn Elnät
REL00090,Karlskoga Elnät AB,Karlskoga Elnät
REL00092,Karlstads El- och Stadsnät AB,Karlstads Elnät
REL00886,Kraftringen Nät AB,Kraftringen
REL00098,Kristinehamns Elnät AB,Kristinehamns Elnät
REL00100,Kungälv Energi AB,Kungälv Energi
REL00899,Kvänumbygdens Energi ek. för.,Kvänumbygdens Energi
REL00121,LEVA i Lysekil AB,LEVA i Lysekil
REL00590,LKAB Nät AB,LKAB Nät
REL00103,Landskrona Energi AB,Landskrona Energi
REL00106,Lerum Energi AB,Lerum Energi
REL03038,Lidköping Elnät AB,Lidköping Elnät
REL00944,Linde Energi AB,Linde Energi
REL00112,Ljungby Energinät AB,Ljungby Energi
REL00113,Ljusdal Elnät AB,Ljusdal Elnät
REL00118,Luleå Energi Elnät AB,Luleå Energi
REL00123,Malung-Sälens Elnät AB,Malung-Sälens Elnät
REL00126,Mellersta Skånes Kraft ek. för.,Mellersta Skånes Kraft
REL00127,Mjölby Kraftnät AB,Mjölby Kraft
REL00267,Mälarenergi Elnät AB,Mälarenergi
REL00128,Mölndal Energi Nät AB,Mölndal Energi
REL00130,Nacka Energi AB,Nacka Energi
REL00182,Njudung Energi Sävsjö AB,Njudung Sävsjö
REL00936,Njudung Vetlanda Elnät AB,Njudung Vetlanda
REL00133,Norrtälje Energi AB,Norrtälje Energi
REL00135,Nossebroortens Energi ek. för.,Nossebroortens Energi
REL00137,Nybro Elnät AB,Nybro Elnät
REL00139,Näckåns Elnät AB,Näckåns Elnät
REL03050,Näckåns Elnät AB (tidigare Viggafors Elektriska Andelsförening u.p.a.),Näckåns Elnät (Viggafors)
REL00141,Nässjö Affärsverk Elnät AB,Nässjö Affärsverk
REL00143,Olofströms Kraft Nät AB,Olofströms Kraft
REL00144,Olseröds Elektriska Distributionsförening u.p.a.,Olseröds El
REL00146,Oskarshamn Energi Nät AB,Oskarshamn Energi
REL00147,Oxelö Energi AB,Oxelö Energi
REL00148,Partille Energi Nät AB,Partille Energi
REL00152,Ronneby Miljö och Teknik AB,Ronneby Miljöteknik
REL00156,Rödeby Elverk ek. för.,Rödeby Elverk
REL00160,SEVAB Nät AB,SEVAB
REL00157,Sala-Heby Energi Elnät AB,Sala-Heby Energi
REL00158,Sandhult-Sandared Elektriska ek. för.,Sandhult-Sandared
REL01010,Sandviken Energi Elnät AB,Sandviken Energi
REL00163,Sjogerstads Elektriska Distributionsförening ek. för.,Sjogerstads El
REL00164,Sjöbo Elnät AB,Sjöbo Elnät
REL03042,Skara Elnät AB,Skara Elnät
REL00824,Skellefteå Kraft Elnät AB,Skellefteå Kraft
REL00167,Skurups Elverk AB,Skurups Elverk
REL00168,Skyllbergs Bruks AB,Skyllbergs Bruk
REL00169,Skånska Energi Nät AB,Skånska Energi
REL00170,Skövde Energi Elnät AB,Skövde Energi
REL00171,Smedjebacken Energi Nät AB,Smedjebacken Energi
REL00173,Sollentuna Energi och Miljö AB,Sollentuna Energi
REL00175,Staffanstorps Energi AB,Staffanstorps Energi
REL00177,Sturefors Eldistribution AB,Sturefors El
REL00178,Sundsvall Elnät AB,Sundsvall Elnät
REL00183,Söderhamn Elnät AB,Söderhamn Elnät
REL00184,Södra Hallands Kraft ek. för.,Södra Hallands Kraft
REL00185,Sölvesborgs Energi & Vatten AB,Sölvesborg Energi
REL00965,Sörbylunds Elnät HB,Sörbylunds Elnät
REL00093,Tekniska verken Katrineholm Nät AB,Tekniska verken Katrineholm
REL00111,Tekniska verken Linköping Nät AB,Tekniska verken Linköping
REL00186,Telge Nät AB,Telge Nät
REL00187,Tibro Elnät AB,Tibro Elnät
REL00332,Tidaholms Elnät AB,Tidaholms Elnät
REL00937,Tranås Energi Elnät AB,Tranås Energi
REL03019,Trelleborgs Elnät AB,Trelleborgs Elnät
REL00191,Trollhättan Energi Elnät AB,Trollhättan Energi
REL00193,Töre Energi ek. för.,Töre Energi
REL00195,Uddevalla Energi Elnät AB,Uddevalla Energi
REL03044,Ulricehamn Energi Elnät AB,Ulricehamn Energi
REL00584,Umeå Energi Elnät AB,Umeå Energi
REL00012,Upplands Energi ek. för.,Upplands Energi
REL03016,Vaggeryds Elverk AB,Vaggeryds Elverk
REL00201,Vallebygdens Energi ek. för.,Vallebygdens Energi
REL00203,Vara Energi ek. för.,Vara Energi
REL00204,Varberg Energi AB,Varberg Energi
REL00205,Varbergsortens Elkraft ek. för.,Varbergsortens Elkraft
REL03030,Vattenfall Eldistribution AB,Vattenfall
REL00958,Vimmerby Energi Nät AB,Vimmerby Energi
REL00594,VänerEnergi AB,VänerEnergi
REL00235,Värnamo Elnät AB,Värnamo Elnät
REL00570,Västerbergslagens Elnät AB,Västerbergslagens Elnät
REL00239,Västerviks Kraft-Elnät AB,Västerviks Elnät
REL00242,Västra Orusts Energitjänst ek. för.,Västra Orust Energi
REL00243,Växjö Energi Elnät AB,Växjö Energi
REL00244,Ystad Energi AB,Ystad Energi
REL00246,Ålem Energi AB,Ålem Energi
REL00249,Årsunda Kraft & Belysningsförening ek. för.,Årsunda Kraft
REL00959,Åsele Elnät AB,Åsele Elnät
REL00904,Öresundskraft AB,Öresundskraft
REL00364,Österlens Kraft AB,Österlens Kraft
REL00255,Östra Kinds Elkraft ek. för.,Östra Kinds Elkraft
REL00029,Övertorneå Energi AB,Övertorneå Energi
REL00257,Övik Energi Nät AB,Övik Energi
