coalition,subset_mask,REId,eff,eff_bc,bias,var,ci_low,ci_high
baseline,0,REL00001,0.6704317641254423,0.6555099257011003,0.014921838424341916,3.856838843896727e-05,0.6436377127369564,0.6663567104536722
baseline,0,REL00003,1.0,0.8806984932682509,0.11930150673174911,0.00984641075921389,0.7947149289261982,0.9944325858738308
baseline,0,REL00004,0.718038520680049,0.678281850331047,0.03975667034900199,0.00045973687900092937,0.6465602501522605,0.7128562242924514
baseline,0,REL00005,0.7653288030756875,0.7429239017672766,0.022404901308410885,8.669285654379755e-05,0.726582534913793,0.7609449344842757
baseline,0,REL00007,0.7069865386735491,0.6896466325868656,0.017339906086683454,5.4585176904925686e-05,0.6768918990413568,0.7025651856822803
baseline,0,REL00008,0.6433972051355763,0.5878558894918141,0.05554131564376219,0.0026050936992571016,0.5257651141988499,0.6387792682255841
baseline,0,REL00010,0.7221525979474214,0.7025626107122195,0.01958998723520189,6.20987284807502e-05,0.6887667998448974,0.7168197483173119
baseline,0,REL00011,0.6201382237828863,0.6002552352635027,0.019882988519383638,0.00016430620887625993,0.5758995551932301,0.6165063813553244
baseline,0,REL00012,0.7565119467160462,0.73430353531045,0.02220841140559615,0.0001535004994222796,0.7107449577261759,0.7527549588568951
baseline,0,REL00014,0.7002529654587383,0.6522891094498673,0.047963856008870986,0.0011617642278812538,0.6056018282690071,0.695887140559141
baseline,0,REL00015,1.0,0.9265858947766554,0.07341410522334457,0.001209686993978422,0.892618474761588,0.9944808946418615
baseline,0,REL00016,1.0,0.9228345932249544,0.07716540677504558,0.0016902932888569495,0.8737997407459501,0.9936840283879471
baseline,0,REL00017,0.767490332318173,0.7443291580797727,0.02316117423840025,9.916682541049833e-05,0.7282072451104271,0.764350957688619
baseline,0,REL00018,0.8095094405394881,0.7721893633056499,0.037320077233838234,0.0004021103078669885,0.7440239713396235,0.8052545730880185
baseline,0,REL00019,0.8253327563325243,0.8012999779902815,0.024032778342242822,0.00015830916635391833,0.7783723049588437,0.8206486414102361
baseline,0,REL00021,0.842873424885027,0.8075725849545142,0.035300839930512806,0.0003388275695631486,0.778301940989501,0.8378127384171408
baseline,0,REL00023,0.9067698767720803,0.8430425972450418,0.0637272795270385,0.002883639715708786,0.7741291737665821,0.9019957306655426
baseline,0,REL00025,0.8424788991667683,0.8241766356420218,0.01830226352474651,5.234112800596352e-05,0.810826813825334,0.8376859952174391
baseline,0,REL00029,0.9794516911655187,0.9441275771955194,0.03532411396999924,0.00035370227630875773,0.9096001796645469,0.9731304824053455
baseline,0,REL00030,0.9867835804545269,0.944273843009679,0.04250973744484787,0.0004147764920669328,0.9131398398308594,0.9816556709734114
baseline,0,REL00031,0.8104583515028453,0.7433338501566287,0.06712450134621661,0.003098652620158159,0.6735585150656047,0.8046959631692685
baseline,0,REL00033,1.0,0.8633738419199704,0.13662615808002965,0.01711423255356632,0.7716351360206398,0.9928046439783577
baseline,0,REL00035,0.9285113661536383,0.8872710758303347,0.04124029032330356,0.0004163089113872452,0.8537890902881934,0.9228013552951974
baseline,0,REL00037,0.6683231722533838,0.6441293514753578,0.02419382077802601,0.00010948636668810317,0.6269331668343554,0.6633854514593021
