subset_mask,players,REId,number_peers,n_peers_per_firm,eff_standard
0,(baseline),REL00001,0.0,5.0,0.6704317641254423
0,(baseline),REL00003,63.0,1.0,1.0
0,(baseline),REL00004,0.0,4.0,0.718038520680049
0,(baseline),REL00005,0.0,4.0,0.7653288030756875
0,(baseline),REL00007,0.0,3.0,0.7069865386735491
0,(baseline),REL00008,0.0,3.0,0.6433972051355763
0,(baseline),REL00010,0.0,5.0,0.7221525979474214
0,(baseline),REL00011,0.0,4.0,0.6201382237828863
0,(baseline),REL00012,0.0,4.0,0.7565119467160462
0,(baseline),REL00014,0.0,3.0,0.7002529654587383
0,(baseline),REL00015,19.0,1.0,1.0
0,(baseline),REL00016,19.0,1.0,1.0
0,(baseline),REL00017,0.0,3.0,0.767490332318173
0,(baseline),REL00018,0.0,3.0,0.8095094405394881
0,(baseline),REL00019,0.0,4.0,0.8253327563325243
0,(baseline),REL00021,0.0,4.0,0.842873424885027
0,(baseline),REL00023,0.0,4.0,0.9067698767720804
0,(baseline),REL00025,0.0,4.0,0.8424788991667683
0,(baseline),REL00029,0.0,5.0,0.9794516911655186
0,(baseline),REL00030,0.0,4.0,0.9867835804545269
0,(baseline),REL00031,0.0,4.0,0.8104583515028453
0,(baseline),REL00033,64.0,1.0,1.0
0,(baseline),REL00035,0.0,4.0,0.9285113661536383
0,(baseline),REL00037,0.0,5.0,0.6683231722533838
0,(baseline),REL00038,0.0,3.0,0.9214682803697258
0,(baseline),REL00040,0.0,4.0,0.639974633910239
0,(baseline),REL00043,0.0,3.0,0.9957669498096062
0,(baseline),REL00049,0.0,5.0,0.7488380871536665
0,(baseline),REL00062,25.0,1.0,1.0
0,(baseline),REL00064,0.0,5.0,0.7059783977450546
0,(baseline),REL00067,15.0,1.0,1.0
0,(baseline),REL00072,0.0,5.0,0.9638684547778426
0,(baseline),REL00074,0.0,4.0,0.8232370617221132
0,(baseline),REL00075,0.0,3.0,0.9161526550216061
0,(baseline),REL00077,0.0,5.0,0.7539162226846027
0,(baseline),REL00078,0.0,5.0,0.6032006416278825
0,(baseline),REL00080,0.0,5.0,0.835110550312565
0,(baseline),REL00083,0.0,3.0,0.6469640473138369
0,(baseline),REL00085,0.0,4.0,0.6767760188357516
0,(baseline),REL00086,0.0,4.0,0.8558694095180361
0,(baseline),REL00087,0.0,3.0,0.9740896789636799
0,(baseline),REL00090,0.0,4.0,0.7854963547314903
0,(baseline),REL00091,0.0,4.0,0.6806733765796689
0,(baseline),REL00092,0.0,4.0,0.8508113682641607
0,(baseline),REL00093,0.0,4.0,0.9719085099217791
0,(baseline),REL00098,0.0,4.0,0.6961046930002767
0,(baseline),REL00100,0.0,5.0,0.8174433343438168
0,(baseline),REL00103,1.0,1.0,1.0
0,(baseline),REL00106,0.0,4.0,0.7931142448841029
0,(baseline),REL00111,19.0,1.0,1.0
0,(baseline),REL00112,4.0,1.0,1.0
0,(baseline),REL00113,0.0,4.0,0.7674420934987238
0,(baseline),REL00118,0.0,5.0,0.8885165523592531
0,(baseline),REL00121,0.0,5.0,0.8698220010023301
0,(baseline),REL00123,0.0,5.0,0.7752196283184739
0,(baseline),REL00126,0.0,4.0,0.6777051481040091
0,(baseline),REL00127,0.0,4.0,0.6866352264016716
0,(baseline),REL00128,0.0,3.0,0.997627063128039
0,(baseline),REL00130,0.0,4.0,0.6863104271827116
0,(baseline),REL00133,0.0,4.0,0.820047421803544
0,(baseline),REL00135,0.0,4.0,0.8198756977192245
0,(baseline),REL00137,0.0,3.0,0.8084191221079746
0,(baseline),REL00139,0.0,5.0,0.7699662848217085
0,(baseline),REL00141,0.0,5.0,0.9916658104378253
0,(baseline),REL00143,0.0,4.0,0.9135959391460772
0,(baseline),REL00144,0.0,4.0,0.6271768675074338
0,(baseline),REL00146,0.0,3.0,0.9806006884537207
0,(baseline),REL00147,3.0,1.0,1.0
0,(baseline),REL00148,0.0,3.0,0.804527965269199
0,(baseline),REL00149,0.0,5.0,0.976807431861328
0,(baseline),REL00152,0.0,4.0,0.7197874885227005
0,(baseline),REL00156,0.0,4.0,0.6445484919741346
0,(baseline),REL00157,0.0,4.0,0.9412932617696005
0,(baseline),REL00158,55.0,1.0,1.0
0,(baseline),REL00160,0.0,5.0,0.72276363476606
0,(baseline),REL00163,0.0,4.0,0.7219214104786439
0,(baseline),REL00164,0.0,4.0,0.7758809440295277
0,(baseline),REL00167,0.0,5.0,0.9198044813879745
0,(baseline),REL00168,0.0,4.0,0.8603342720008835
0,(baseline),REL00169,0.0,5.0,0.9127266546111832
0,(baseline),REL00170,0.0,4.0,0.9627486438402189
0,(baseline),REL00171,0.0,4.0,0.9184162593893603
0,(baseline),REL00173,0.0,4.0,0.9803957089121854
0,(baseline),REL00175,0.0,4.0,0.72564032511755
0,(baseline),REL00177,0.0,3.0,0.8806623521316034
0,(baseline),REL00178,0.0,4.0,0.7694897579475222
0,(baseline),REL00182,0.0,5.0,0.9067105693376128
0,(baseline),REL00183,0.0,4.0,0.8114083921040205
0,(baseline),REL00184,0.0,5.0,0.7235403816180876
0,(baseline),REL00185,0.0,4.0,0.7943508420957194
0,(baseline),REL00186,0.0,4.0,0.9967066474150341
0,(baseline),REL00187,0.0,4.0,0.8746866394294041
0,(baseline),REL00191,57.0,1.0,1.0
0,(baseline),REL00193,0.0,4.0,0.7568224503424916
0,(baseline),REL00195,0.0,4.0,0.919687910708302
0,(baseline),REL00201,0.0,4.0,0.8805812591360068
0,(baseline),REL00203,0.0,5.0,0.8423780661208182
0,(baseline),REL00204,0.0,4.0,0.863633668702835
0,(baseline),REL00205,0.0,5.0,0.6916254925559325
0,(baseline),REL00235,0.0,3.0,0.9139604196071608
0,(baseline),REL00239,0.0,5.0,0.9318178709481573
0,(baseline),REL00242,0.0,4.0,0.725827349609725
0,(baseline),REL00243,0.0,3.0,0.8248939419022374
0,(baseline),REL00244,0.0,4.0,0.7843409350058054
0,(baseline),REL00246,0.0,4.0,0.7135299522010691
0,(baseline),REL00249,0.0,3.0,0.7992406683526013
0,(baseline),REL00255,10.0,1.0,1.0
0,(baseline),REL00267,0.0,4.0,0.8534015632007216
0,(baseline),REL00332,0.0,5.0,0.677817564329467
0,(baseline),REL00364,0.0,4.0,0.800165312538609
0,(baseline),REL00570,2.0,1.0,1.0
0,(baseline),REL00576,0.0,4.0,0.8137283649236602
0,(baseline),REL00584,0.0,3.0,0.7418263978683857
0,(baseline),REL00585,7.0,1.0,1.0
0,(baseline),REL00590,0.0,3.0,0.6482641276369032
0,(baseline),REL00594,0.0,4.0,0.8327795085101287
0,(baseline),REL00824,21.0,1.0,1.0
0,(baseline),REL00885,0.0,3.0,0.8945728710097738
0,(baseline),REL00886,0.0,4.0,0.7825515332480101
0,(baseline),REL00899,13.0,1.0,1.0
0,(baseline),REL00904,0.0,4.0,0.8401325994390013
0,(baseline),REL00936,0.0,3.0,0.8710024359647657
0,(baseline),REL00937,0.0,4.0,0.7092461052199783
0,(baseline),REL00938,0.0,5.0,0.6567391598935901
0,(baseline),REL00944,10.0,1.0,1.0
0,(baseline),REL00945,0.0,3.0,0.7431289708011379
0,(baseline),REL00958,0.0,2.0,0.7873498462630313
0,(baseline),REL00959,0.0,4.0,0.9412723425803894
0,(baseline),REL01010,0.0,4.0,0.7825943997578313
0,(baseline),REL01012,0.0,5.0,0.7350776072265989
0,(baseline),REL03009,0.0,4.0,0.7602250696063441
0,(baseline),REL03015,0.0,4.0,0.7306781068881034
0,(baseline),REL03019,0.0,5.0,0.7028442117049266
0,(baseline),REL03028,0.0,5.0,0.9376616348395009
0,(baseline),REL03030,0.0,5.0,0.8661055859363034
0,(baseline),REL03035,0.0,5.0,0.9189063893428076
0,(baseline),REL03038,0.0,3.0,0.9240391481338268
0,(baseline),REL03041,0.0,4.0,0.8245656922991874
0,(baseline),REL03042,69.0,1.0,1.0
0,(baseline),REL03043,0.0,4.0,0.7785878206750936
0,(baseline),REL03044,0.0,4.0,0.7776498766665391
0,(baseline),REL03047,0.0,3.0,0.9600240348156699
0,(baseline),REL03049,0.0,4.0,0.7544209854562812
0,(baseline),REL03050,45.0,1.0,1.0
1,losses,REL00001,0.0,3.0,0.6532707695535632
1,losses,REL00003,63.0,1.0,1.0
1,losses,REL00004,0.0,4.0,0.7214649960655469
1,losses,REL00005,0.0,3.0,0.7511975146086333
1,losses,REL00007,0.0,3.0,0.6997436491326019
1,losses,REL00008,0.0,3.0,0.6471053506489434
1,losses,REL00010,0.0,5.0,0.7471085367118235
1,losses,REL00011,0.0,4.0,0.6045705996102522
1,losses,REL00012,0.0,4.0,0.7371832163412328
1,losses,REL00014,0.0,3.0,0.6899178543212772
1,losses,REL00015,3.0,1.0,1.0
1,losses,REL00016,14.0,1.0,1.0
