subset_mask,players,e75,max_abs_d_eff,max_abs_d_req
0,(baseline),0.9385643117746976,4.994199942487398e-09,5.758988849691171e-08
1,losses,0.926838657266047,4.996579372473775e-09,4.829289197184894e-08
2,grid_subscription,0.9014034591686062,4.975532874595956e-09,3.6034575323640183e-08
4,grid_connection,0.9396496068201846,4.999100577940396e-09,4.199902653434506e-08
8,feed_in,0.9476488983218783,4.979495482615448e-09,4.089368849102826e-08
16,capacity_reserve,0.9341814888562169,4.994195834662207e-09,3.94579924706262e-08
32,capex_adj,0.9476367985305992,4.947203535721201e-09,5.038525152656348e-08
64,cable,0.9643937880927245,4.884098903090717e-09,4.113207552336462e-08
3,losses+grid_subscription,0.9021223852302775,4.991622004624219e-09,4.428684086121848e-08
5,losses+grid_connection,0.9145544212570978,4.968485733947148e-09,3.83351239641172e-08
9,losses+feed_in,0.9231335567988047,4.866834379946283e-09,3.303217699368588e-08
17,losses+capacity_reserve,0.9274264190172962,4.9965811488306144e-09,3.9940339924271484e-08
33,losses+capex_adj,0.9229282312990209,4.978836343205728e-09,3.8720005035575156e-08
65,losses+cable,0.9405398067150187,4.996665636802788e-09,4.1054315502719874e-08
6,grid_subscription+grid_connection,0.9002539746081972,4.980760248685101e-09,3.321529715161198e-08
10,grid_subscription+feed_in,0.9186899415732783,4.74355854596098e-09,3.479152524410445e-08
18,grid_subscription+capacity_reserve,0.9014336414537751,4.948822240891104e-09,3.686593244220382e-08
34,grid_subscription+capex_adj,0.9327788429920358,4.910594375573396e-09,4.253095646500338e-08
66,grid_subscription+cable,0.9080264230503828,4.963071176256051e-09,5.8437898950436384e-08
12,grid_connection+feed_in,0.9481902738332593,4.9794955936377505e-09,5.3893733920062914e-08
20,grid_connection+capacity_reserve,0.939649606820187,4.999114344705902e-09,4.199911535218703e-08
36,grid_connection+capex_adj,0.9433978082007668,4.946643428205277e-09,4.9506843069480055e-08
68,grid_connection+cable,0.9557044999125325,4.88414952926064e-09,3.015783178739184e-08
24,feed_in+capacity_reserve,0.9476488983218714,4.97949736999459e-09,4.08935552642653e-08
40,feed_in+capex_adj,0.9412036515972342,4.8511610284407425e-09,3.60565134138735e-08
72,feed_in+cable,0.9620457198892708,4.979807677329973e-09,4.66439442625699e-08
48,capacity_reserve+capex_adj,0.9476367985305948,4.884059601195645e-09,5.0671111750943965e-08
80,capacity_reserve+cable,0.9643937880926802,4.828189514860526e-09,4.124616198586395e-08
96,capex_adj+cable,0.9633780740853461,4.954880061802669e-09,3.4425284844985526e-08
7,losses+grid_subscription+grid_connection,0.9002019326215521,4.990333035692629e-09,3.102387241549209e-08
11,losses+grid_subscription+feed_in,0.9103601656079247,4.988975454978117e-09,3.424578398636413e-08
