REId,n_coalitions_with_peers,n_distinct_peer_sets,n_always_peers,n_ever_peers,core_ratio
REL00001,128,17,0,16,0.0
REL00244,128,30,0,16,0.0
REL00243,128,14,0,13,0.0
REL00242,128,29,0,16,0.0
REL00239,128,24,0,17,0.0
REL00235,128,19,0,17,0.0
REL00204,128,28,0,16,0.0
REL00203,128,14,0,12,0.0
REL00195,128,23,0,14,0.0
REL00193,112,12,0,11,0.0
REL00191,104,12,0,15,0.0
REL00187,128,30,0,18,0.0
REL00186,44,9,0,15,0.0
REL00185,128,26,0,15,0.0
REL00184,128,30,0,18,0.0
REL00183,128,24,0,16,0.0
REL00182,128,20,0,14,0.0
REL00171,128,30,0,21,0.0
REL00170,128,14,0,11,0.0
REL00169,128,28,0,16,0.0
REL00164,128,16,0,13,0.0
REL00163,128,23,0,13,0.0
REL00160,128,26,0,16,0.0
REL03049,128,26,0,15,0.0
REL00157,128,17,0,13,0.0
REL00156,128,19,0,15,0.0
REL00152,128,19,0,15,0.0
REL00148,128,18,0,14,0.0
REL00246,128,24,0,16,0.0
REL00146,98,9,0,9,0.0
REL00249,128,17,0,13,0.0
REL00332,128,24,0,19,0.0
REL03047,128,18,0,13,0.0
REL03044,128,19,0,17,0.0
REL03043,128,28,0,18,0.0
REL03041,128,36,0,22,0.0
REL03038,80,13,0,13,0.0
REL03035,128,26,0,17,0.0
REL03030,128,18,0,15,0.0
REL03028,128,26,0,14,0.0
REL03015,128,27,0,17,0.0
REL03009,128,27,0,17,0.0
REL01012,128,18,0,17,0.0
REL01010,128,23,0,18,0.0
REL00959,128,23,0,15,0.0
REL00958,128,14,0,12,0.0
REL00945,128,19,0,13,0.0
REL00944,48,2,0,6,0.0
REL00938,128,21,0,17,0.0
REL00937,128,27,0,15,0.0
REL00936,128,22,0,17,0.0
REL00904,128,24,0,14,0.0
REL00886,128,32,0,24,0.0
REL00885,112,25,0,16,0.0
REL00594,128,23,0,14,0.0
REL00590,128,15,0,10,0.0
REL00584,72,11,0,11,0.0
REL00576,128,20,0,11,0.0
REL00364,128,27,0,21,0.0
REL00267,128,27,0,20,0.0
REL00144,128,17,0,13,0.0
REL03050,72,6,0,9,0.0
REL00077,128,15,0,14,0.0
REL00098,128,22,0,14,0.0
REL00093,128,20,0,13,0.0
REL00092,124,21,0,14,0.0
REL00025,128,21,0,17,0.0
REL00090,128,12,0,14,0.0
REL00087,112,16,0,12,0.0
REL00031,128,11,0,9,0.0
REL00086,128,18,0,16,0.0
REL00100,128,31,0,16,0.0
REL00085,128,21,0,14,0.0
REL00080,128,19,0,13,0.0
REL00078,128,9,0,11,0.0
REL00143,128,14,0,13,0.0
REL00075,88,19,0,11,0.0
REL00037,128,18,0,17,0.0
REL00074,120,16,0,12,0.0
REL00072,128,18,0,17,0.0
REL00043,124,11,0,10,0.0
REL00083,128,14,0,12,0.0
REL00103,112,3,0,5,0.0
REL00064,128,27,0,16,0.0
REL00010,128,30,0,18,0.0
REL00133,128,9,0,11,0.0
REL00007,128,18,0,16,0.0
REL00128,120,12,0,10,0.0
REL00127,128,23,0,17,0.0
REL00008,128,20,0,16,0.0
REL00123,128,24,0,14,0.0
REL00111,56,13,0,14,0.0
REL00011,128,17,0,13,0.0
REL00121,128,29,0,16,0.0
REL00118,72,17,0,16,0.0
REL00113,128,25,0,17,0.0
REL00137,128,23,0,19,0.0
REL00017,128,27,0,17,0.0
REL00018,114,21,0,16,0.0
REL00019,128,17,0,12,0.0
REL00139,128,14,0,11,0.0
REL00005,128,29,0,16,0.0
REL00004,124,12,0,16,0.0
REL00091,128,33,1,22,0.0455
REL00023,128,30,1,19,0.0526
REL00021,128,13,1,17,0.0588
REL03019,128,20,1,16,0.0625
REL00049,128,16,1,16,0.0625
REL00141,114,17,1,15,0.0667
REL00167,128,21,1,15,0.0667
REL00205,128,20,1,15,0.0667
REL00012,128,17,1,14,0.0714
REL00126,128,15,1,14,0.0714
REL00201,128,15,1,14,0.0714
REL00168,120,9,1,12,0.0833
REL00029,128,12,1,12,0.0833
REL00173,128,12,1,11,0.0909
REL00067,112,13,1,11,0.0909
REL00038,122,12,1,10,0.1
REL00135,128,8,1,10,0.1
REL00106,128,10,1,10,0.1
REL00175,128,12,1,10,0.1
REL00158,64,9,1,9,0.1111
REL00014,128,9,1,8,0.125
REL03042,64,6,1,8,0.125
REL00040,128,16,2,16,0.125
REL00035,128,10,1,8,0.125
REL00130,128,18,2,15,0.1333
REL00177,88,5,1,7,0.1429
REL00030,96,6,1,7,0.1429
REL00112,64,7,1,5,0.2
REL00255,64,5,1,5,0.2
REL00149,48,4,2,8,0.25
REL00178,128,8,2,8,0.25
REL00062,16,2,2,5,0.4
REL00015,16,2,2,5,0.4
REL00899,20,3,2,4,0.5
REL00824,16,4,3,6,0.5
REL00570,16,1,2,2,1.0
REL00585,4,1,2,2,1.0
