subset_mask,players,REId,peer_REId,is_self,lambda_weight
0,(baseline),REL00001,REL00003,False,2.847520088795797
0,(baseline),REL00001,REL00158,False,1.7973068261460448
0,(baseline),REL00001,REL00191,False,0.19147091926866053
0,(baseline),REL00001,REL03042,False,0.1357468602374464
0,(baseline),REL00001,REL03050,False,0.8319228853373922
0,(baseline),REL00003,REL00003,True,1.0
0,(baseline),REL00004,REL00033,False,0.03349934449393262
0,(baseline),REL00004,REL00255,False,0.0676150656982862
0,(baseline),REL00004,REL00944,False,0.05557496877396045
0,(baseline),REL00004,REL03042,False,0.48844493522102583
0,(baseline),REL00005,REL00033,False,0.03259319853648112
0,(baseline),REL00005,REL00111,False,0.007612691707463489
0,(baseline),REL00005,REL00191,False,0.30613594129777955
0,(baseline),REL00005,REL03050,False,2.5509067699898598
0,(baseline),REL00007,REL00003,False,0.20830871333347395
0,(baseline),REL00007,REL00158,False,0.14612871316203135
0,(baseline),REL00007,REL00191,False,0.07064655142308765
0,(baseline),REL00008,REL00033,False,0.05886368876884409
0,(baseline),REL00008,REL00158,False,0.6396235251227992
0,(baseline),REL00008,REL00899,False,0.8907680891504537
0,(baseline),REL00010,REL00003,False,0.4639347591924162
0,(baseline),REL00010,REL00033,False,0.017541552635797746
0,(baseline),REL00010,REL00158,False,2.1745686483861375
0,(baseline),REL00010,REL03042,False,0.4120420430557634
0,(baseline),REL00010,REL03050,False,7.587503640059355
0,(baseline),REL00011,REL00003,False,7.458053590795993
0,(baseline),REL00011,REL00033,False,0.023685389810035345
0,(baseline),REL00011,REL00158,False,0.4245013802816371
0,(baseline),REL00011,REL03050,False,0.3113734708612462
0,(baseline),REL00012,REL00003,False,12.528850607414094
0,(baseline),REL00012,REL00033,False,0.018941027337029976
0,(baseline),REL00012,REL00158,False,1.1385539076058635
0,(baseline),REL00012,REL00824,False,0.07252411921439243
0,(baseline),REL00014,REL00003,False,2.22388756882956
0,(baseline),REL00014,REL00899,False,0.09338685399187835
0,(baseline),REL00014,REL03050,False,1.6320181007917494
0,(baseline),REL00015,REL00015,True,1.0
0,(baseline),REL00016,REL00016,True,1.0
0,(baseline),REL00017,REL00003,False,0.08271186648954441
0,(baseline),REL00017,REL00158,False,0.09050576193170685
0,(baseline),REL00017,REL00191,False,0.17065975984827875
