subset_mask,players,REId,kind,variable,value
0,(baseline),REL00001,u,totex,9.434903730690637e-06
0,(baseline),REL00001,v,CU,1.4144414655801247e-05
0,(baseline),REL00001,v,MW,0.0006704937720461545
0,(baseline),REL00001,v,NS,0.0003989451295887441
0,(baseline),REL00001,v,MWhl,1.5542881617536919e-06
0,(baseline),REL00001,v,MWhh,1.1165402237971783e-07
0,(baseline),REL00003,u,totex,0.0003224092159975661
0,(baseline),REL00003,v,CU,0.0
0,(baseline),REL00003,v,MW,0.0
0,(baseline),REL00003,v,NS,0.02409638554217939
0,(baseline),REL00003,v,MWhl,0.0
0,(baseline),REL00003,v,MWhh,0.0
0,(baseline),REL00004,u,totex,2.2799461392411998e-05
0,(baseline),REL00004,v,CU,0.0
0,(baseline),REL00004,v,MW,0.005371611062005377
0,(baseline),REL00004,v,NS,0.0010460923068055683
0,(baseline),REL00004,v,MWhl,3.0650609058685544e-06
0,(baseline),REL00004,v,MWhh,3.046862386320489e-06
0,(baseline),REL00005,u,totex,1.604367039269364e-05
0,(baseline),REL00005,v,CU,4.2035982989720614e-05
0,(baseline),REL00005,v,MW,0.0018926379479480633
0,(baseline),REL00005,v,NS,0.0005570122024892164
0,(baseline),REL00005,v,MWhl,1.1520391585197457e-06
0,(baseline),REL00005,v,MWhh,0.0
0,(baseline),REL00007,u,totex,6.156518199211923e-05
0,(baseline),REL00007,v,CU,9.765598598842418e-05
0,(baseline),REL00007,v,MW,0.0
0,(baseline),REL00007,v,NS,0.002540762017171081
0,(baseline),REL00007,v,MWhl,1.1225013632976001e-05
0,(baseline),REL00007,v,MWhh,0.0
0,(baseline),REL00008,u,totex,9.04226319788902e-06
0,(baseline),REL00008,v,CU,0.0
0,(baseline),REL00008,v,MW,0.00237955676150659
0,(baseline),REL00008,v,NS,0.00034488289489676864
0,(baseline),REL00008,v,MWhl,1.8947746954619403e-06
0,(baseline),REL00008,v,MWhh,0.0
0,(baseline),REL00010,u,totex,9.896117071127779e-06
0,(baseline),REL00010,v,CU,1.1585093635538262e-05
0,(baseline),REL00010,v,MW,0.0016811030550819824
0,(baseline),REL00010,v,NS,0.0004323583561870834
0,(baseline),REL00010,v,MWhl,1.5217217489641436e-06
0,(baseline),REL00010,v,MWhh,7.138986612648269e-08
0,(baseline),REL00011,u,totex,1.7112839923338205e-05
0,(baseline),REL00011,v,CU,1.8674390243024078e-05
0,(baseline),REL00011,v,MW,0.0033158666830479795
0,(baseline),REL00011,v,NS,0.0007534709725886468
0,(baseline),REL00011,v,MWhl,2.5860522001015096e-06
0,(baseline),REL00011,v,MWhh,0.0
0,(baseline),REL00012,u,totex,7.709534087092628e-06
0,(baseline),REL00012,v,CU,8.162297129874788e-06
0,(baseline),REL00012,v,MW,0.001513674746591347
0,(baseline),REL00012,v,NS,0.00033972538625208606
0,(baseline),REL00012,v,MWhl,1.17485932643338e-06
0,(baseline),REL00012,v,MWhh,0.0
0,(baseline),REL00014,u,totex,4.8524587805572396e-05
0,(baseline),REL00014,v,CU,7.680568989191056e-05
0,(baseline),REL00014,v,MW,0.013266877173832228
0,(baseline),REL00014,v,NS,0.002722600771431557
0,(baseline),REL00014,v,MWhl,0.0
0,(baseline),REL00014,v,MWhh,0.0
0,(baseline),REL00015,u,totex,7.285346850224573e-06
0,(baseline),REL00015,v,CU,7.079905310348647e-07
0,(baseline),REL00015,v,MW,0.0
0,(baseline),REL00015,v,NS,0.0
0,(baseline),REL00015,v,MWhl,2.288905344683168e-06
0,(baseline),REL00015,v,MWhh,7.798397511486693e-07
0,(baseline),REL00016,u,totex,1.3007321551054349e-05
0,(baseline),REL00016,v,CU,0.0
0,(baseline),REL00016,v,MW,0.0
0,(baseline),REL00016,v,NS,0.0
0,(baseline),REL00016,v,MWhl,4.159214740257833e-06
0,(baseline),REL00016,v,MWhh,0.0
0,(baseline),REL00017,u,totex,3.577019281063993e-05
0,(baseline),REL00017,v,CU,5.6739431849096684e-05
0,(baseline),REL00017,v,MW,0.0
0,(baseline),REL00017,v,NS,0.0014762166584969037
0,(baseline),REL00017,v,MWhl,6.521882807152439e-06
0,(baseline),REL00017,v,MWhh,0.0
0,(baseline),REL00018,u,totex,6.2434113006074236e-06
0,(baseline),REL00018,v,CU,2.0282303818318678e-05
0,(baseline),REL00018,v,MW,0.0009449550893908382
0,(baseline),REL00018,v,NS,0.00020887626628631435
0,(baseline),REL00018,v,MWhl,0.0
0,(baseline),REL00018,v,MWhh,0.0
0,(baseline),REL00019,u,totex,4.322008920371705e-06
0,(baseline),REL00019,v,CU,1.2506174474188667e-05
0,(baseline),REL00019,v,MW,0.0002243777277200583
0,(baseline),REL00019,v,NS,5.607227070808234e-05
0,(baseline),REL00019,v,MWhl,4.525494085062882e-07
0,(baseline),REL00019,v,MWhh,0.0
0,(baseline),REL00021,u,totex,4.1562275182572224e-05
0,(baseline),REL00021,v,CU,7.739295304325955e-05
0,(baseline),REL00021,v,MW,0.0
0,(baseline),REL00021,v,NS,0.0004021559551372951
0,(baseline),REL00021,v,MWhl,8.536505002287618e-06
0,(baseline),REL00021,v,MWhh,1.3202299390360177e-06
0,(baseline),REL00023,u,totex,7.0246498017977544e-06
0,(baseline),REL00023,v,CU,1.7006819879747884e-05
0,(baseline),REL00023,v,MW,0.00024165028091326912
0,(baseline),REL00023,v,NS,4.750380749066746e-05
0,(baseline),REL00023,v,MWhl,1.1267503696167406e-06
0,(baseline),REL00023,v,MWhh,0.0
0,(baseline),REL00025,u,totex,3.679239097581735e-05
0,(baseline),REL00025,v,CU,5.934092852989116e-05
0,(baseline),REL00025,v,MW,0.0013563126842208667
0,(baseline),REL00025,v,NS,0.0015378260501022146
0,(baseline),REL00025,v,MWhl,6.200793543949306e-06
0,(baseline),REL00025,v,MWhh,0.0
0,(baseline),REL00029,u,totex,3.772857029904816e-05
0,(baseline),REL00029,v,CU,2.4945447906269843e-05
0,(baseline),REL00029,v,MW,0.004037090370854614
0,(baseline),REL00029,v,NS,0.0016139711917189875
0,(baseline),REL00029,v,MWhl,7.827414557939622e-06
0,(baseline),REL00029,v,MWhh,1.0246055029479874e-06
0,(baseline),REL00030,u,totex,3.5456771995933014e-05
0,(baseline),REL00030,v,CU,0.00013381403933272867
0,(baseline),REL00030,v,MW,0.003443804717121215
