DMU,CU,MWhl,MWhh,MWh_total
1,13330,183522.25,21546.0,205068.25
2,315,4871.0,0.0,4871.0
3,5027,73611.75,54887.5,128499.25
4,10309,118689.75,31668.25,150358.0
5,2351,29847.75,621.25,30469.0
6,8041,129882.75,10286.75,140169.5
7,13821,188168.0,31165.0,219333.0
8,4945,72008.25,1853.0,73861.25
9,13438,205002.0,13412.75,218414.75
10,1527,17480.5,0.0,17480.5
11,16662,399525.25,94542.25,494067.5
12,13805,240430.0,0.0,240430.0
13,4614,55689.0,58.25,55747.25
14,29740,288416.0,127604.5,416020.5
15,43962,473149.5,103446.5,576596.0
16,4162,53860.25,25632.0,79492.25
17,28384,329180.75,156867.0,486047.75
18,20,15726.5,0.0,15726.5
19,4539,58148.25,7860.0,66008.25
20,3521,54692.5,3807.25,58499.75
21,6440,64243.25,31189.25,95432.5
22,3158,41544.0,67986.75,109530.75
23,41969,491031.75,310043.25,801075.0
24,47836,451668.5,182113.0,633781.5
25,17199,224815.75,92039.0,316854.75
26,15202,202127.25,149139.75,351267.0
27,3204,46220.25,14142.75,60363.0
28,4835,84174.0,68267.25,152441.25
29,4179,56646.5,11075.75,67722.25
30,268270,2728069.5,1615341.75,4343411.25
31,4946,78186.5,17294.75,95481.25
32,1811,24982.5,0.0,24982.5
33,5286,74483.75,22173.5,96657.25
34,2019,26127.75,36.25,26164.0
35,6499,76661.5,6517.5,83179.0
36,13850,193731.0,70340.5,264071.5
37,14389,237473.75,63380.5,300854.25
38,15460,229524.75,47525.25,277050.0
39,2504,48806.75,11225.5,60032.25
40,62737,867106.5,228524.0,1095630.5
41,56695,739901.25,307464.25,1047365.5
42,24123,262576.25,111283.0,373859.25
43,15500,227344.0,164974.75,392318.75
44,19749,233857.5,116894.0,350751.5
45,34300,366646.75,158677.5,525324.25
46,18000,228391.0,133973.5,362364.5
47,10413,145437.5,42680.5,188118.0
48,23003,313306.5,64628.5,377935.0
49,19061,157567.0,214690.5,372257.5
50,17925,277455.75,9398.5,286854.25
51,76287,747833.25,412477.0,1160310.25
52,9178,97449.75,89280.5,186730.25
53,7036,87876.75,2546.0,90422.75
54,41823,541951.0,245691.75,787642.75
55,10338,127025.75,21419.0,148444.75
56,15876,251900.0,52605.25,304505.25
57,2442,28784.0,687.5,29471.5
58,12561,172793.0,50806.75,223599.75
59,22873,271609.25,145173.75,416783.0
60,28778,432432.0,68058.0,500490.0
61,17022,259558.0,10925.0,270483.0
62,2657,41402.25,18241.25,59643.5
63,8684,87093.25,80190.75,167284.0
64,2460,30931.5,11332.5,42264.0
65,9768,107426.25,50956.75,158383.0
66,13561,170283.75,154777.5,325061.25
67,1789,17291.75,1672.5,18964.25
68,12302,132918.5,123673.25,256591.75
69,7318,62748.5,612.75,63361.25
70,15397,197977.25,24340.5,222317.75
71,23149,397595.75,81571.75,479167.5
72,12155,142328.0,121132.5,263460.5
73,4221,50629.25,0.0,50629.25
74,13806,164146.5,33995.75,198142.25
75,3556,54726.75,0.0,54726.75
76,17786,229459.75,75519.0,304978.75
77,2859,39596.75,50.75,39647.5
78,7926,122885.5,2056.25,124941.75
79,3997,58946.5,6385.25,65331.75
80,1341,13825.0,2988.25,16813.25
81,18974,258650.0,65132.75,323782.75
82,20813,237968.25,76007.25,313975.5
83,3541,45654.25,9953.75,55608.0
84,29213,414720.75,58506.5,473227.25
85,7632,132392.5,15551.75,147944.25
86,236,2551.5,0.0,2551.5
87,28102,451495.75,141004.5,592500.25
88,3506,52995.0,14726.25,67721.25
89,9297,104162.5,24612.75,128775.25
90,20591,291081.0,35235.75,326316.75
91,5685,67533.5,12081.5,79615.0
92,53262,648425.75,326483.5,974909.25
93,5374,76234.75,15193.25,91428.0
94,25001,294932.0,68263.5,363195.5
95,951,15144.5,60.75,15205.25
96,26477,284044.25,75432.25,359476.5
97,2662,37838.5,0.0,37838.5
98,4510,68144.25,14043.75,82188.0
99,23678,295266.75,49306.25,344573.0
100,11399,165839.75,36222.0,202061.75
