REId,name_short,v_empty,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL00001,Ale El,0.67043176,-0.013816720000000005,0.02232300999999992,0.0034421399999999824,0.008701209999999904,0.0,-0.013065770000000088,0.0
REL00003,Almnäs Bruk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00004,Alvesta Elnät,0.74379453,0.0044074500000000905,-0.08106481999999993,0.0,0.006504449999999995,0.0,-0.009408689999999997,0.17022251
REL00005,Arvika Teknik,0.76924433,-0.01804682000000002,0.042768159999999944,0.006416439999999968,0.012025479999999922,0.0,0.0015448200000000023,0.012138659999999968
REL00007,Bengtsfors Energi,0.70698654,-0.006093850000000067,-0.04369442000000001,0.010438320000000001,-0.006563890000000017,0.0,0.0557110999999999,0.002468899999999996
REL00008,Bergs Tingslags,0.86943244,-0.0012185999999999586,0.13056756000000003,0.0,-0.046907689999999946,0.0,-0.24433688999999992,0.03643216000000005
REL00010,Bjäre Kraft,0.7231638,0.03193999999999997,0.047434079999999934,-0.020215470000000013,0.0004448699999999306,0.0,-0.018360810000000005,0.054890910000000015
REL00011,Bjärke Energi,0.62024443,0.02539022000000002,0.010893380000000064,0.0,0.006438670000000091,0.0,0.0053583600000000065,0.09999728000000008
REL00012,Upplands Energi,0.75655021,0.019206599999999963,0.004852289999999981,0.0,0.006074950000000023,0.0,-0.01011523000000003,0.008252359999999959
REL00014,Blåsjön Nät,0.77088522,0.008748869999999909,0.1716703599999999,0.0,0.014968429999999922,0.0,-0.08737809000000007,0.012787629999999939
REL00015,Bodens Energi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00016,Boo Energi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00017,Borgholm Energi,0.76749033,-0.01915509999999998,-0.04732585,0.01643623999999999,-0.03050419999999998,0.0,0.06616040999999995,0.01743127
REL00018,Borlänge Energi,0.81193799,-0.001261520000000016,0.029393800000000025,-0.00877532999999997,0.028390930000000036,0.0,0.01616381,0.07382252
REL00019,Borås Elnät,0.82871639,-0.0012839299999999332,0.09380823999999999,0.003618830000000073,-0.0037737999999999383,0.0,-0.01945496999999996,0.0025848400000000327
