REId,name_short,v_full,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL00001,Ale El,0.69450197,-0.00742378999999993,0.04821633999999997,0.0032540600000000586,0.0018945500000000504,0.0,-0.006478499999999943,0.0
REL00003,Almnäs Bruk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00004,Alvesta Elnät,0.77617436,0.014410359999999955,-0.22382564000000005,0.0,0.03178978999999993,0.0,0.025792509999999935,0.14815510999999992
REL00005,Arvika Teknik,0.83785064,0.004654669999999972,0.07608477000000002,0.0032862999999999642,0.001221099999999975,0.0,0.011134470000000007,0.0
REL00007,Bengtsfors Energi,0.71373415,0.002760559999999912,-0.02103949999999999,0.004867589999999922,-0.006056380000000083,0.0,0.018899629999999945,0.0
REL00008,Bergs Tingslags,0.82447038,7.977999999997376e-05,0.021452899999999997,0.0,-0.027430420000000066,0.014376379999999966,-0.017320690000000027,0.0500797999999999
REL00010,Bjäre Kraft,0.82894528,0.05677858000000002,0.041353839999999975,-0.022018819999999995,-0.0067302399999999984,0.0,0.009392929999999966,0.04928520000000003
REL00011,Bjärke Energi,0.73304204,0.017544039999999983,0.029850669999999968,0.0,0.0005946399999999796,0.0,-0.00905896000000006,0.08918574999999995
REL00012,Upplands Energi,0.7627454,0.007352829999999977,0.0020316000000000223,8.072999999997332e-05,0.0025426499999999796,0.0,-0.006049369999999943,0.000607959999999963
REL00014,Blåsjön Nät,0.90660466,0.006514569999999997,0.16851925999999995,0.0,0.005560559999999937,0.0007688200000000034,-0.029331910000000017,0.0
REL00015,Bodens Energi,1.0,0.0,0.019216890000000042,0.0,0.0,0.0,0.0,0.0
REL00016,Boo Energi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00017,Borgholm Energi,0.75237976,0.0026815599999999717,-0.0267156300000001,0.0027103599999999117,-0.03024863,0.00014184999999999892,0.017556979999999944,0.0075359299999999685
REL00018,Borlänge Energi,1.0,0.0,0.11586085999999995,0.0,0.003102080000000007,0.0,0.07311948999999995,0.07721171999999998
REL00019,Borås Elnät,0.94147718,0.0048045899999999975,0.12399505,0.003097440000000007,-0.0019482800000000244,5.699999999997374e-05,0.014033000000000073,0.0001076800000000544
REL00021,Bromölla Energi,0.78253693,-0.00872930999999999,-0.11590926000000001,0.0025683200000000683,0.005452809999999975,3.445000000001919e-05,0.010557730000000043,0.0
REL00023,C4 Elnät,0.78971335,0.006686740000000024,-0.21028665000000002,0.0005042199999999442,-0.023675659999999987,-0.006292940000000025,-0.006052020000000047,0.011110700000000029
REL00024,Carlfors Bruk,,,,,,,,
REL00025,Degerfors Energi,0.86663213,0.03529947,0.0005361999999999867,0.0030306999999999418,-0.000294360000000049,0.0,-0.009441860000000024,0.0
REL00029,Övertorneå Energi,0.86383154,-0.021783010000000047,-0.023793380000000086,0.0010479699999998981,0.009423159999999986,0.0,-0.02624930000000003,0.0
REL00030,Eksjö Elnät,0.81490814,0.003132229999999958,-0.18509186,0.0019805000000000517,-0.008952740000000015,0.0,0.0077530700000000285,0.0
REL00031,Emmaboda Elnät,0.63595292,0.016947450000000086,-0.19164143999999994,-0.026783139999999928,0.04654946000000004,0.0,-0.014005889999999965,0.07788481000000003
REL00033,Halmstads Energi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00035,Eskilstuna Energi,0.95495547,-0.002296769999999948,0.006303720000000013,0.0027350200000000324,0.009362280000000056,0.0,0.026652160000000036,0.0
REL00037,Falbygdens Energi,0.68694418,0.010185400000000011,0.042400450000000034,0.0,-0.016340299999999974,0.0,-0.01658556,0.0009596499999999786
REL00038,Falkenberg Energi,0.88054328,0.026126440000000084,-0.10385632999999994,-0.01718069,-0.012845999999999913,0.0,0.03145165999999999,0.01061878000000005
REL00040,Filipstad Energi,0.71397486,0.004212479999999963,0.041540739999999965,0.0017547099999999372,0.003222590000000025,0.00024327999999995686,0.018943970000000032,0.0017056599999999422
REL00043,Gislaved Energi,0.96226898,0.0018081699999999978,0.010141570000000044,0.0023967500000000586,-0.004828119999999991,0.00020053000000008758,-0.0022136399999999057,0.015523920000000024
REL00049,Grästorps Energi,0.86373932,-0.016468519999999987,0.14068952999999995,0.0,-0.050969299999999995,0.0,-0.004463419999999996,0.000993559999999949
REL00062,Göteborg Energi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00064,Habo Kraft,0.68890953,0.014094779999999973,-0.04916017000000006,0.0009499099999999983,-0.002533530000000006,0.0,0.010202330000000037,0.03586973999999998
REL00067,Hallstaviks Elverk,0.70478057,0.01275788,-0.26506321999999993,0.0011941700000001054,0.0077627500000000405,0.00041489999999999583,-0.05042282999999992,0.0
REL00072,Herrljunga Elektriska,0.82505911,0.01286757999999999,-0.12329466,0.0,0.00041024000000000616,0.0,-0.01119990999999998,0.0
REL00074,Hjärtums Elförening,0.83175119,-0.029095399999999993,0.15848023999999994,0.0,-0.12564425,0.0,0.019071190000000016,0.0
REL00075,Hofors Elverk,1.0,0.0037896899999999567,0.11469141000000005,0.0,0.0,0.0,0.0,0.0
REL00077,Härnösand Elnät,0.79156893,-0.0011306800000000505,0.08869372999999992,0.0004595899999999542,-0.010234430000000017,0.0,-0.027617710000000018,0.0
REL00078,Härryda Energi,0.64162101,0.0027333100000001,0.05213527000000007,0.0008893600000000612,0.003958850000000069,0.00012418000000002927,-0.004605360000000003,0.0
REL00080,Höganäs Energi,0.77575978,-0.014610479999999981,-0.026925399999999988,-0.0007477599999999862,-0.016179009999999994,0.00017812000000005934,-0.004244440000000016,0.017027820000000027
