REId,name_short,v_empty,v_full,phi_losses,phi_grid_subscription,phi_grid_connection,phi_feed_in,phi_capacity_reserve,phi_capex_adj,phi_cable,sum_phi
REL00001,Ale El,0.67043176,0.69450197,-0.012466618666666655,0.036756482999999965,0.0019572101666666805,0.006064040999999984,1.0625499999998105e-05,-0.008294289499999991,4.2758499999998964e-05,0.024070209999999984
REL00003,Almnäs Bruk,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00004,Alvesta Elnät,0.74379453,0.77617436,0.011295953071428583,-0.1597826270952381,-0.0036598047619047563,0.008403290571428555,-0.0005635729285714239,0.011085227238095232,0.16560136390476185,0.03237982999999994
REL00005,Arvika Teknik,0.76924433,0.83785064,-0.009225617928571442,0.05771249607142855,0.0026529644047618896,0.007153441238095223,-0.00015823892857142448,0.006341373071428573,0.004129892071428569,0.06860630999999993
REL00007,Bengtsfors Energi,0.70698654,0.71373415,-0.0031154273333333722,-0.029331738333333312,0.004423893499999986,-0.00583766083333336,1.3372500000004746e-05,0.040029770499999964,0.0005653999999999993,0.006747609999999902
REL00008,Bergs Tingslags,0.86943244,0.82447038,0.0032065449047619116,0.07762210107142856,-0.018642728761904762,-0.022521749428571432,-0.007059650261904769,-0.1125407610952381,0.03497418357142855,-0.04496206000000004
REL00010,Bjäre Kraft,0.7231638,0.82894528,0.0435835413095238,0.04086421047619046,-0.02129870135714285,-0.003010212023809539,-0.00017584785714285444,-0.005253517857142861,0.05107200730952381,0.10578147999999997
REL00011,Bjärke Energi,0.62024443,0.73304204,0.009790909190476186,0.01511817252380953,-0.0013454896428571473,0.0017970833571428696,-2.528809523809416e-06,-0.006582612309523827,0.09402207569047616,0.11279760999999995
REL00012,Upplands Energi,0.75655021,0.7627454,0.004844308738095237,0.0032292369047619072,-0.0011542962619047615,0.0022038427380952413,3.524047619057625e-07,-0.010264382261904735,0.007336127738095223,0.006195190000000019
REL00014,Blåsjön Nät,0.77088522,0.90660466,-0.0007368132380952442,0.17684175142857136,-0.0046535240714285706,0.010852743928571397,-0.002424989238095239,-0.05493416840476192,0.010774439595238083,0.13571943999999986
REL00015,Bodens Energi,1.0,1.0,-0.005110249000000003,0.008324582000000011,0.0002713478333333334,0.00041343649999999734,0.0,-0.005110249000000003,0.0012111316666666668,1.5178830414797062e-18
REL00016,Boo Energi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00017,Borgholm Energi,0.76749033,0.75237976,-0.00922051657142856,-0.034556983571428584,0.0049941564285714115,-0.02869477290476189,4.541409523809119e-05,0.041343140261904755,0.010978992261904762,-0.015110570000000018
REL00018,Borlänge Energi,0.81193799,1.0,-0.008140601452380956,0.06976493738095237,-0.006379626285714276,0.011440724380952394,-5.719761904762093e-05,0.04603744438095237,0.07539632921428573,0.18806201
REL00019,Borås Elnät,0.82871639,0.94147718,0.003520872333333346,0.11023891316666663,0.0012524793333333552,-0.002208551499999998,3.907999999992427e-06,-0.0007569529999999773,0.000710121666666677,0.11276079000000003
REL00021,Bromölla Energi,0.85268789,0.78253693,-0.0048681111428571485,-0.08816802214285713,-0.0012144178095237945,0.0024544826904761862,-0.00046568830952381523,0.012996268857142883,0.009114527857142854,-0.07015095999999997
REL00023,C4 Elnät,1.0,0.78971335,0.0065886345000000035,-0.1584033961666667,-0.012393826166666677,-0.025747846666666664,-0.008983645166666674,-0.01600252683333335,0.004655956500000001,-0.21028665000000007
REL00024,Carlfors Bruk,,,,,,,,,,
REL00025,Degerfors Energi,0.8424789,0.86663213,0.027302086666666642,-0.010654570166666665,0.0036710353333333106,0.006966416166666662,9.035666666660594e-06,-0.004674423500000027,0.0015336498333333242,0.024153229999999908
REL00029,Övertorneå Energi,0.97945169,0.86383154,-0.03451287733333335,-0.05163219650000001,-0.0017420698333333539,0.00745565183333333,5.699999999997374e-07,-0.036305217333333334,0.0011159891666666683,-0.11562015000000006
REL00030,Eksjö Elnät,1.0,0.81490814,0.001373261999999994,-0.18634251500000001,-0.0018069309999999836,-0.005191841666666675,-0.0007833919999999991,0.0077938124999999995,-0.000134254833333332,-0.18509186
REL00031,Emmaboda Elnät,0.79329013,0.63595292,0.024198317666666667,-0.16898190250000003,-0.04700197916666667,0.01750076666666667,-0.001380777499999998,-0.03878756083333335,0.05711592566666667,-0.15733721000000003
REL00033,Halmstads Energi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL00035,Eskilstuna Energi,0.92860836,0.95495547,0.0035752778809523787,-0.015150498285714286,0.0016075242142857178,0.021989130880952393,-6.547285714288341e-06,0.014332304214285706,-8.161904762208148e-08,0.026347110000000003
REL00037,Falbygdens Energi,0.66839108,0.68694418,0.001150514761904755,0.04066729626190475,-0.0009263874047619018,-0.014631974571428568,-1.6169047619061871e-06,-0.020245176071428596,0.012540443928571439,0.018553099999999968
REL00038,Falkenberg Energi,0.9255492,0.88054328,0.014632924833333356,-0.06368973049999999,-0.02529380033333334,-0.027414228333333318,-0.0005242188333333379,0.033211144333333345,0.024071988833333353,-0.045005919999999935
