REId,subset_mask,n_players,players,value,e75
REL00001,0,0,(baseline),0.67043176,0.93969566
REL00003,0,0,(baseline),1.0,0.93969566
REL00004,0,0,(baseline),0.74379453,0.93969566
REL00005,0,0,(baseline),0.76924433,0.93969566
REL00007,0,0,(baseline),0.70698654,0.93969566
REL00008,0,0,(baseline),0.86943244,0.93969566
REL00010,0,0,(baseline),0.7231638,0.93969566
REL00011,0,0,(baseline),0.62024443,0.93969566
REL00012,0,0,(baseline),0.75655021,0.93969566
REL00014,0,0,(baseline),0.77088522,0.93969566
REL00015,0,0,(baseline),1.0,0.93969566
REL00016,0,0,(baseline),1.0,0.93969566
REL00017,0,0,(baseline),0.76749033,0.93969566
REL00018,0,0,(baseline),0.81193799,0.93969566
REL00019,0,0,(baseline),0.82871639,0.93969566
REL00021,0,0,(baseline),0.85268789,0.93969566
REL00023,0,0,(baseline),1.0,0.93969566
REL00024,0,0,(baseline),,0.93969566
REL00025,0,0,(baseline),0.8424789,0.93969566
REL00029,0,0,(baseline),0.97945169,0.93969566
REL00030,0,0,(baseline),1.0,0.93969566
REL00031,0,0,(baseline),0.79329013,0.93969566
REL00033,0,0,(baseline),1.0,0.93969566
REL00035,0,0,(baseline),0.92860836,0.93969566
REL00037,0,0,(baseline),0.66839108,0.93969566
REL00038,0,0,(baseline),0.9255492,0.93969566
REL00040,0,0,(baseline),0.64178228,0.93969566
REL00043,0,0,(baseline),0.98115748,0.93969566
REL00049,0,0,(baseline),0.75091375,0.93969566
REL00062,0,0,(baseline),1.0,0.93969566
REL00064,0,0,(baseline),0.7059784,0.93969566
REL00067,0,0,(baseline),1.0,0.93969566
REL00072,0,0,(baseline),0.96396353,0.93969566
REL00074,0,0,(baseline),0.82323706,0.93969566
REL00075,0,0,(baseline),0.91615266,0.93969566
REL00077,0,0,(baseline),0.75440886,0.93969566
REL00078,0,0,(baseline),0.60780796,0.93969566
REL00080,0,0,(baseline),0.84944753,0.93969566
REL00083,0,0,(baseline),0.65788781,0.93969566
REL00085,0,0,(baseline),0.71944121,0.93969566
REL00086,0,0,(baseline),0.85598817,0.93969566
REL00087,0,0,(baseline),0.97408968,0.93969566
REL00090,0,0,(baseline),0.7893204,0.93969566
REL00091,0,0,(baseline),0.70167721,0.93969566
REL00092,0,0,(baseline),0.85089396,0.93969566
REL00093,0,0,(baseline),0.96853296,0.93969566
REL00098,0,0,(baseline),0.69610469,0.93969566
REL00100,0,0,(baseline),0.81744333,0.93969566
REL00103,0,0,(baseline),0.97537926,0.93969566
REL00106,0,0,(baseline),0.79311424,0.93969566
REL00111,0,0,(baseline),1.0,0.93969566
REL00112,0,0,(baseline),1.0,0.93969566
REL00113,0,0,(baseline),0.76744209,0.93969566
REL00118,0,0,(baseline),0.88851655,0.93969566
REL00121,0,0,(baseline),0.869822,0.93969566
REL00123,0,0,(baseline),0.84598664,0.93969566
REL00126,0,0,(baseline),0.67775657,0.93969566
REL00127,0,0,(baseline),0.68663523,0.93969566
REL00128,0,0,(baseline),1.0,0.93969566
REL00130,0,0,(baseline),0.70672976,0.93969566
REL00133,0,0,(baseline),0.82004742,0.93969566
REL00135,0,0,(baseline),0.8198757,0.93969566
