REId,name_short,E2_2in,E1_1in,phi_input
REL00001,Ale El,0.6777534,0.67043176,-0.007321639999999907
REL00003,Almnäs Bruk,1.0,1.0,0.0
REL00004,Alvesta Elnät,0.72092524,0.71803852,-0.0028867200000000093
REL00005,Arvika Teknik,0.770253,0.7653288,-0.004924199999999934
REL00007,Bengtsfors Energi,0.71212849,0.70698654,-0.005141949999999951
REL00008,Bergs Tingslags,0.65598244,0.64339721,-0.012585230000000003
REL00010,Bjäre Kraft,0.72696282,0.7221526,-0.004810219999999976
REL00011,Bjärke Energi,0.62103286,0.62013822,-0.0008946400000000576
REL00012,Upplands Energi,0.75806256,0.75651195,-0.0015506100000000078
REL00014,Blåsjön Nät,0.87089561,0.70025297,-0.17064264000000007
REL00015,Bodens Energi,1.0,1.0,0.0
REL00016,Boo Energi,1.0,1.0,0.0
REL00017,Borgholm Energi,0.77157811,0.76749033,-0.004087779999999985
REL00018,Borlänge Energi,0.99247418,0.80950944,-0.18296473999999996
REL00019,Borås Elnät,0.97932725,0.82533276,-0.15399448999999998
REL00021,Bromölla Energi,0.84451945,0.84287342,-0.001646029999999965
REL00023,C4 Elnät,1.0,0.90676988,-0.09323011999999997
REL00024,Carlfors Bruk,,,
REL00025,Degerfors Energi,0.8511381,0.8424789,-0.008659199999999978
REL00029,Övertorneå Energi,0.99360395,0.97945169,-0.014152260000000028
REL00030,Eksjö Elnät,1.0,0.98678358,-0.013216420000000006
REL00031,Emmaboda Elnät,1.0,0.81045835,-0.18954165
REL00033,Halmstads Energi,1.0,1.0,0.0
REL00035,Eskilstuna Energi,1.0,0.92851137,-0.07148863000000005
REL00037,Falbygdens Energi,0.68793001,0.66832317,-0.019606840000000014
REL00038,Falkenberg Energi,0.93343396,0.92146828,-0.011965679999999979
REL00040,Filipstad Energi,0.66934388,0.63997463,-0.029369250000000013
REL00043,Gislaved Energi,1.0,0.99576695,-0.0042330499999999605
REL00049,Grästorps Energi,0.9239045,0.74883809,-0.17506641
REL00062,Göteborg Energi,1.0,1.0,0.0
REL00064,Habo Kraft,0.7070427,0.7059784,-0.001064300000000018
REL00067,Hallstaviks Elverk,1.0,1.0,0.0
REL00072,Herrljunga Elektriska,0.96788731,0.96386845,-0.0040188599999999575
REL00074,Hjärtums Elförening,0.83781333,0.82323706,-0.014576270000000058
REL00075,Hofors Elverk,0.91904768,0.91615266,-0.0028950200000000814
REL00077,Härnösand Elnät,0.75566681,0.75391622,-0.0017505899999999963
REL00078,Härryda Energi,0.60886158,0.60320064,-0.005660940000000059
REL00080,Höganäs Energi,0.85834444,0.83511055,-0.02323388999999998
REL00083,Jukkasjärvi,0.75524415,0.64696405,-0.10828009999999999
REL00085,Jämtkraft,0.67684849,0.67677602,-7.246999999999115e-05
REL00086,Jönköping Energi,0.94983418,0.85586941,-0.09396476999999992
REL00087,Kalmar Energi,0.97441837,0.97408968,-0.00032869000000002035
REL00090,Karlskoga Elnät,0.78887185,0.78549635,-0.0033755000000000868
REL00091,Affärsverken Karlskrona,0.70296276,0.68067338,-0.022289380000000025
REL00092,Karlstads Elnät,0.87188246,0.85081137,-0.02107109000000007
REL00093,Tekniska verken Katrineholm,0.98348635,0.97190851,-0.01157783999999995
REL00098,Kristinehamns Elnät,0.70898639,0.69610469,-0.012881699999999996
REL00100,Kungälv Energi,0.82285426,0.81744333,-0.005410929999999925
REL00103,Landskrona Energi,1.0,1.0,0.0
REL00106,Lerum Energi,0.80366659,0.79311424,-0.010552349999999988
REL00111,Tekniska verken Linköping,1.0,1.0,0.0
REL00112,Ljungby Energi,1.0,1.0,0.0
REL00113,Ljusdal Elnät,0.77965989,0.76744209,-0.012217800000000056
REL00118,Luleå Energi,0.89872004,0.88851655,-0.010203490000000093
REL00121,LEVA i Lysekil,0.8755696,0.869822,-0.005747599999999964
REL00123,Malung-Sälens Elnät,0.77725186,0.77521963,-0.0020322299999999682
REL00126,Mellersta Skånes Kraft,0.67772757,0.67770515,-2.2419999999967466e-05
REL00127,Mjölby Kraft,0.68761921,0.68663523,-0.0009839799999999954
REL00128,Mölndal Energi,1.0,0.99762706,-0.00237293999999999
REL00130,Nacka Energi,0.70115237,0.68631043,-0.014841939999999942
REL00133,Norrtälje Energi,0.83746348,0.82004742,-0.017416060000000066
REL00135,Nossebroortens Energi,0.97053952,0.8198757,-0.15066382
REL00137,Nybro Elnät,0.87665561,0.80841912,-0.06823648999999998
REL00139,Näckåns Elnät,0.77538064,0.76996628,-0.0054143599999999514
REL00141,Nässjö Affärsverk,1.0,0.99166581,-0.008334190000000019
REL00143,Olofströms Kraft,1.0,0.91359594,-0.08640406
REL00144,Olseröds El,0.68516975,0.62717687,-0.057992880000000024
REL00146,Oskarshamn Energi,0.98268341,0.98060069,-0.0020827199999999824
REL00147,Oxelö Energi,1.0,1.0,0.0
REL00148,Partille Energi,0.80785974,0.80452797,-0.003331770000000067
REL00149,PiteEnergi,0.97763682,0.97680743,-0.0008293899999999299
REL00152,Ronneby Miljöteknik,0.72678478,0.71978749,-0.006997290000000045
REL00156,Rödeby Elverk,0.66580907,0.64454849,-0.021260579999999973
REL00157,Sala-Heby Energi,0.9467025,0.94129326,-0.005409239999999982
REL00158,Sandhult-Sandared,1.0,1.0,0.0
REL00160,SEVAB,0.75140362,0.72276363,-0.02863999000000006
REL00163,Sjogerstads El,0.7238676,0.72192141,-0.0019461900000000698
REL00164,Sjöbo Elnät,0.78669484,0.77588094,-0.010813900000000043
REL00167,Skurups Elverk,0.98650801,0.91980448,-0.06670352999999996
REL00168,Skyllbergs Bruk,0.86649804,0.86033427,-0.006163770000000013
REL00169,Skånska Energi,0.93546471,0.91272665,-0.022738060000000004
REL00170,Skövde Energi,1.0,0.96274864,-0.037251359999999956
REL00171,Smedjebacken Energi,0.92037762,0.91841626,-0.001961360000000023
REL00173,Sollentuna Energi,0.9808451,0.98039571,-0.00044938999999999396
REL00175,Staffanstorps Energi,0.78120384,0.72564033,-0.05556351000000004
REL00177,Sturefors El,0.88678083,0.88066235,-0.006118479999999926
REL00178,Sundsvall Elnät,0.78576638,0.76948976,-0.016276619999999964
REL00182,Njudung Sävsjö,0.93137355,0.90671057,-0.02466298
