REId,subset_mask,n_players,players,value,e75
REL00001,0,0,(baseline),0.67043176,0.9385643075000001
REL00003,0,0,(baseline),1.0,0.9385643075000001
REL00004,0,0,(baseline),0.71803852,0.9385643075000001
REL00005,0,0,(baseline),0.7653288,0.9385643075000001
REL00007,0,0,(baseline),0.70698654,0.9385643075000001
REL00008,0,0,(baseline),0.64339721,0.9385643075000001
REL00010,0,0,(baseline),0.7221526,0.9385643075000001
REL00011,0,0,(baseline),0.62013822,0.9385643075000001
REL00012,0,0,(baseline),0.75651195,0.9385643075000001
REL00014,0,0,(baseline),0.70025297,0.9385643075000001
REL00015,0,0,(baseline),1.0,0.9385643075000001
REL00016,0,0,(baseline),1.0,0.9385643075000001
REL00017,0,0,(baseline),0.76749033,0.9385643075000001
REL00018,0,0,(baseline),0.80950944,0.9385643075000001
REL00019,0,0,(baseline),0.82533276,0.9385643075000001
REL00021,0,0,(baseline),0.84287342,0.9385643075000001
REL00023,0,0,(baseline),0.90676988,0.9385643075000001
REL00024,0,0,(baseline),,0.9385643075000001
REL00025,0,0,(baseline),0.8424789,0.9385643075000001
REL00029,0,0,(baseline),0.97945169,0.9385643075000001
REL00030,0,0,(baseline),0.98678358,0.9385643075000001
REL00031,0,0,(baseline),0.81045835,0.9385643075000001
REL00033,0,0,(baseline),1.0,0.9385643075000001
REL00035,0,0,(baseline),0.92851137,0.9385643075000001
REL00037,0,0,(baseline),0.66832317,0.9385643075000001
REL00038,0,0,(baseline),0.92146828,0.9385643075000001
REL00040,0,0,(baseline),0.63997463,0.9385643075000001
REL00043,0,0,(baseline),0.99576695,0.9385643075000001
REL00049,0,0,(baseline),0.74883809,0.9385643075000001
REL00062,0,0,(baseline),1.0,0.9385643075000001
REL00064,0,0,(baseline),0.7059784,0.9385643075000001
REL00067,0,0,(baseline),1.0,0.9385643075000001
REL00072,0,0,(baseline),0.96386845,0.9385643075000001
REL00074,0,0,(baseline),0.82323706,0.9385643075000001
REL00075,0,0,(baseline),0.91615266,0.9385643075000001
REL00077,0,0,(baseline),0.75391622,0.9385643075000001
REL00078,0,0,(baseline),0.60320064,0.9385643075000001
REL00080,0,0,(baseline),0.83511055,0.9385643075000001
REL00083,0,0,(baseline),0.64696405,0.9385643075000001
REL00085,0,0,(baseline),0.67677602,0.9385643075000001
REL00086,0,0,(baseline),0.85586941,0.9385643075000001
REL00087,0,0,(baseline),0.97408968,0.9385643075000001
REL00090,0,0,(baseline),0.78549635,0.9385643075000001
REL00091,0,0,(baseline),0.68067338,0.9385643075000001
REL00092,0,0,(baseline),0.85081137,0.9385643075000001
REL00093,0,0,(baseline),0.97190851,0.9385643075000001
REL00098,0,0,(baseline),0.69610469,0.9385643075000001
REL00100,0,0,(baseline),0.81744333,0.9385643075000001
REL00103,0,0,(baseline),1.0,0.9385643075000001
REL00106,0,0,(baseline),0.79311424,0.9385643075000001
REL00111,0,0,(baseline),1.0,0.9385643075000001
REL00112,0,0,(baseline),1.0,0.9385643075000001
REL00113,0,0,(baseline),0.76744209,0.9385643075000001
REL00118,0,0,(baseline),0.88851655,0.9385643075000001
REL00121,0,0,(baseline),0.869822,0.9385643075000001
REL00123,0,0,(baseline),0.77521963,0.9385643075000001
REL00126,0,0,(baseline),0.67770515,0.9385643075000001
REL00127,0,0,(baseline),0.68663523,0.9385643075000001
REL00128,0,0,(baseline),0.99762706,0.9385643075000001
REL00130,0,0,(baseline),0.68631043,0.9385643075000001
REL00133,0,0,(baseline),0.82004742,0.9385643075000001
REL00135,0,0,(baseline),0.8198757,0.9385643075000001
REL00137,0,0,(baseline),0.80841912,0.9385643075000001
REL00139,0,0,(baseline),0.76996628,0.9385643075000001
REL00141,0,0,(baseline),0.99166581,0.9385643075000001
REL00143,0,0,(baseline),0.91359594,0.9385643075000001
REL00144,0,0,(baseline),0.62717687,0.9385643075000001
REL00146,0,0,(baseline),0.98060069,0.9385643075000001
REL00147,0,0,(baseline),1.0,0.9385643075000001
REL00148,0,0,(baseline),0.80452797,0.9385643075000001
REL00149,0,0,(baseline),0.97680743,0.9385643075000001
REL00152,0,0,(baseline),0.71978749,0.9385643075000001
REL00156,0,0,(baseline),0.64454849,0.9385643075000001
REL00157,0,0,(baseline),0.94129326,0.9385643075000001
REL00158,0,0,(baseline),1.0,0.9385643075000001
REL00160,0,0,(baseline),0.72276363,0.9385643075000001
