REId,subset_mask,n_players,players,value,e75
REL00001,0,0,(baseline),1.6420117968376502,0.93969566
REL00003,0,0,(baseline),-0.3790518889485228,0.93969566
REL00004,0,0,(baseline),1.2025169450862405,0.93969566
REL00005,0,0,(baseline),1.0487083366770067,0.93969566
REL00007,0,0,(baseline),1.4237369729445115,0.93969566
REL00008,0,0,(baseline),0.43628168603873085,0.93969566
REL00010,0,0,(baseline),1.3266883117054151,0.93969566
REL00011,0,0,(baseline),1.8244601098569957,0.93969566
REL00012,0,0,(baseline),1.1255143450109362,0.93969566
REL00014,0,0,(baseline),1.0387673091895033,0.93969566
REL00015,0,0,(baseline),-0.3790518889485228,0.93969566
REL00016,0,0,(baseline),-0.3790518889485228,0.93969566
REL00017,0,0,(baseline),1.0593313768248347,0.93969566
REL00018,0,0,(baseline),0.7890961155175402,0.93969566
REL00019,0,0,(baseline),0.6865184128693302,0.93969566
REL00021,0,0,(baseline),0.5394182648031487,0.93969566
REL00023,0,0,(baseline),-0.3790518889485228,0.93969566
REL00024,0,0,(baseline),,0.93969566
REL00025,0,0,(baseline),0.6021442198083315,0.93969566
REL00029,0,0,(baseline),-0.24940669253971093,0.93969566
REL00030,0,0,(baseline),-0.3790518889485228,0.93969566
REL00031,0,0,(baseline),0.90273682282902,0.93969566
REL00033,0,0,(baseline),-0.3790518889485228,0.93969566
REL00035,0,0,(baseline),0.06922371298618835,0.93969566
REL00037,0,0,(baseline),1.6541556731910267,0.93969566
REL00038,0,0,(baseline),0.08829835714398993,0.93969566
REL00040,0,0,(baseline),1.8121050151217455,0.93969566
REL00043,0,0,(baseline),-0.26014978415866974,0.93969566
REL00049,0,0,(baseline),1.1595618185755274,0.93969566
REL00062,0,0,(baseline),-0.3790518889485228,0.93969566
REL00064,0,0,(baseline),1.429775670145772,0.93969566
REL00067,0,0,(baseline),-0.3790518889485228,0.93969566
REL00072,0,0,(baseline),-0.15202048975023752,0.93969566
REL00074,0,0,(baseline),0.7200517324881472,0.93969566
REL00075,0,0,(baseline),0.1468200913082196,0.93969566
REL00077,0,0,(baseline),1.1384533861366952,0.93969566
REL00078,0,0,(baseline),1.8244601098569957,0.93969566
REL00080,0,0,(baseline),0.5593403637766503,0.93969566
REL00083,0,0,(baseline),1.7165908067309665,0.93969566
REL00085,0,0,(baseline),1.3490451273435955,0.93969566
REL00086,0,0,(baseline),0.5191155902261269,0.93969566
REL00087,0,0,(baseline),-0.2156592562550963,0.93969566
REL00090,0,0,(baseline),0.9268789918939424,0.93969566
REL00091,0,0,(baseline),1.4555274268398533,0.93969566
REL00092,0,0,(baseline),0.5504490120446182,0.93969566
REL00093,0,0,(baseline),-0.1807224440430133,0.93969566
REL00098,0,0,(baseline),1.4888616610527539,0.93969566
REL00100,0,0,(baseline),0.7554727765364255,0.93969566
REL00103,0,0,(baseline),-0.22377249202844007,0.93969566
REL00106,0,0,(baseline),0.9038068761520801,0.93969566
REL00111,0,0,(baseline),-0.3790518889485228,0.93969566
REL00112,0,0,(baseline),-0.3790518889485228,0.93969566
REL00113,0,0,(baseline),1.059623493380868,0.93969566
REL00118,0,0,(baseline),0.318346045608342,0.93969566
REL00121,0,0,(baseline),0.43387844083571103,0.93969566
