REId,name_short,v_full,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL00001,Ale El,1.4459271066643797,0.015252124465714445,-0.3572572189878054,-0.020958036902452015,-0.03179748121386883,0.0,0.099874340034245,0.02421720617755696
REL00003,Almnäs Bruk,-0.434596521942332,-0.030865442424177214,-0.07448656236994644,-0.0015696045217672427,-0.021645519331747742,0.0,0.06452460663758375,0.02561619394555459
REL00004,Alvesta Elnät,0.9534167166133312,-0.11695714746493557,1.258362827474302,-0.0015057507995130948,-0.07560786966243072,0.0,-0.09470613500361935,-0.8265289250372287
REL00005,Arvika Teknik,0.5766547273241107,-0.05850078611548959,-0.5354495829272832,-0.021703853793741956,-0.028495246428272836,0.0,-0.005862796287647853,0.024850880150206756
REL00007,Bengtsfors Energi,1.3305962918163994,-0.04584554010447217,0.05568972521492466,-0.030714717173885298,0.015843835690732,0.0,-0.0523382197500144,0.024300029466273187
REL00008,Bergs Tingslags,0.65875059668008,-0.030359607981966796,-0.7239083489886999,-0.001519012849526824,-0.7852208291397211,-0.08798438039943068,0.16895181049516594,-0.28093447238761726
REL00010,Bjäre Kraft,0.631316776020574,-0.3760251350114485,-0.3774403871697585,0.1337900678874515,0.020311639873193954,0.0,0.004827639344817669,-0.2763299266495878
REL00011,Bjärke Energi,1.2144139753799132,-0.1348756379067062,-0.24998823040425222,-0.0014941327098894064,-0.0241870707634817,0.0,0.11616696978336005,-0.5093536698179246
REL00012,Upplands Energi,1.034893449534846,-0.07402797243158954,-0.08357111135328665,-0.0019913018356687573,-0.03611033855359658,0.0,0.09849248258002596,0.02082745652980389
REL00014,Blåsjön Nät,0.15160415972994556,-0.0707970706266714,-1.1033699779345207,-0.0015422050602564852,-0.337715925876525,-0.00478299414192751,0.24674011765163373,0.025168791073881813
REL00015,Bodens Energi,-0.434596521942332,-0.030865442424177214,-0.19567777743050296,-0.0015696045217672427,-0.021645519331747742,0.0,0.06452460663758375,0.02561619394555459
REL00016,Boo Energi,-0.434596521942332,-0.030865442424177214,-0.07448656236994644,-0.0015696045217672427,-0.021645519331747742,0.0,0.06452460663758375,0.02561619394555459
REL00017,Borgholm Energi,1.0976497542894759,-0.04568569862870575,0.09048355803813468,-0.017888558446355063,0.16267197805353018,-0.000857986886759754,-0.04459098795346339,-0.021115825813811107
REL00018,Borlänge Energi,-0.434596521942332,-0.030865442424177214,-0.7985655318299534,-0.0015696045217672427,-0.04126990415194154,0.0,-0.39617447756143953,-0.46011448715734815
REL00019,Borås Elnät,-0.06606943308916646,-0.060572620506549324,-0.8707681821422342,-0.020943177843857352,-0.009211725108160262,-0.00035695513862510353,-0.02412020064882503,0.024658857208570417
REL00021,Bromölla Energi,0.9147444986843389,0.02343853095208015,0.41533308405978797,-0.017122591317786373,-0.05391404213885842,-0.0002095096427012777,-0.00229700886869022,0.02460182428645208
REL00023,C4 Elnät,0.8710722131186177,-0.07034128195877454,0.4578251248992471,-0.0045796001648001905,0.12357672195735248,0.03834257953823084,0.09899026582378401,-0.043006072719387056
REL00024,Carlfors Bruk,,,,,,,,
REL00025,Degerfors Energi,0.3993786519288278,-0.24720148803119013,-0.07595250012923938,-0.02024145484567086,-0.0192940275467679,0.0,0.12139904760029019,0.024982816579144362
REL00029,Övertorneå Energi,0.41666981806978143,0.10451805225883959,0.06682843835232877,-0.007997721204300312,-0.0791775225350344,0.0,0.22561998506582803,0.024969906694005672
REL00030,Eksjö Elnät,0.7172978012782272,-0.04895779799303224,1.0774077608506127,-0.013629169972206867,0.03386656069044314,0.0,0.01484992478280045,0.0247468679411611
REL00031,Emmaboda Elnät,1.794631515848022,-0.029828594008973752,0.9513656295031092,0.1575931578626788,-0.029828594008973752,0.0,0.1436107451964208,-0.029828594008973752
REL00033,Halmstads Energi,-0.434596521942332,-0.030865442424177214,-0.07448656236994644,-0.0015696045217672427,-0.021645519331747742,0.0,0.06452460663758375,0.02561619394555459
REL00035,Eskilstuna Energi,-0.15058308453260727,-0.016193245861484407,-0.11331938595803281,-0.018722348671706968,-0.08015116275622569,0.0,-0.10325709263856453,0.02539811456579999
REL00037,Falbygdens Energi,1.4911419106376167,-0.08992944659893531,-0.32235940788609696,-0.0014819445569136391,0.07733631096946691,0.0,0.16039909319232049,0.024184838512453233
REL00038,Falkenberg Energi,0.3133569228660482,-0.19141042689743148,0.39074671422196783,0.10500613480228793,0.058416608727163144,0.0,-0.1314471629968672,0.025047174387426985
REL00040,Filipstad Energi,1.3291503139298833,-0.05455661885256369,-0.36266339688311167,-0.012027962717864327,-0.03987689076070389,-0.0014614158939663113,-0.052606406850452814,0.014048899015284277
REL00043,Gislaved Energi,-0.1965313441928629,-0.04200078327569745,-0.19925148320349972,-0.01662263785479068,0.022767780194032916,-0.0012607072084280802,0.07801027820849571,0.025433227524374047
REL00049,Grästorps Energi,0.4172390431132822,0.07162656658556976,-0.9281355055017704,-0.001529998941096622,0.2947931062396103,0.0,0.09050767845009133,0.018832801837187496
REL00062,Göteborg Energi,-0.434596521942332,-0.030865442424177214,-0.07448656236994644,-0.0015696045217672427,-0.021645519331747742,0.0,0.06452460663758375,0.02561619394555459
REL00064,Habo Kraft,1.4793899335287186,-0.11327107286474014,0.22432127450453532,-0.007162787759740219,-0.005297879412435869,0.0,-0.00013344240208379432,-0.18980564102233366
REL00067,Hallstaviks Elverk,1.3843377515870836,-0.10559718858291767,1.5544645312137062,-0.008647546758511204,-0.06699830366010406,-0.0024882548427695994,0.36543423437769285,0.02426138882205553
REL00072,Herrljunga Elektriska,0.6551426099816293,-0.10857407811679654,0.6670907511822421,-0.0015191761976396378,-0.02346295722861491,0.0,0.13128893833040944,0.02479276290170418
REL00074,Hjärtums Elförening,0.6141034132841616,0.14894296290666187,-1.028849018809086,-0.0015210358569772708,0.7585376401485155,0.0,-0.054514185093790246,0.024823128202622335
REL00075,Hofors Elverk,-0.434596521942332,-0.05483156303144332,-0.7913349187032459,-0.0015696045217672427,-0.021645519331747742,0.0,0.06452460663758375,0.02561619394555459
REL00077,Härnösand Elnät,0.85977079934898,-0.022810811370410633,-0.6567108803803512,-0.004309310787631304,0.012813163837388508,0.0,0.2310384762384432,0.02464209361932035
REL00078,Härryda Energi,1.7610301314248566,-0.045105346812679414,-0.06342997843213904,-0.006744432913530218,-0.043733204219309485,-0.0007365164883088582,0.08780719517711422,0.02399283037046729
REL00080,Höganäs Energi,0.9559350257908772,0.05917673102835419,-0.09679537962996587,0.0030364604839183684,0.07094058016170468,-0.0010819075616730345,0.08773039428557894,-0.07877429301104133
REL00083,Jukkasjärvi,1.4163216451622551,-0.03214850958690452,-0.12016044894429534,0.09925973664637322,-0.03258944237420902,0.0,0.11328814571143209,-0.4081384646947406
REL00085,Jämtkraft,0.7754680934274116,0.09205277417332347,-1.0163362429170153,-0.009646377030603226,-0.19346574345715517,-0.008558359150878658,0.12798348332845322,0.020363856181315754
REL00086,Jönköping Energi,0.4852897310430704,0.14014297482083382,-0.8016671232362382,0.08079926254320746,0.1502871293391106,-0.0007540845391673656,0.2109923507880307,0.02491876150982897
REL00087,Kalmar Energi,-0.027477119682228768,-0.02414690645612394,0.3326328398901568,-0.03368994691992366,-0.12578008818482367,-0.0004173413144181737,0.02794622074544506,0.025184417402723813
REL00090,Karlskoga Elnät,0.7998239713284949,-0.07931071903557463,-0.2587611161257497,0.04394873159228041,-0.12482200437360369,-0.0010694286421530919,0.06684134566758981,0.024686106139526487
REL00091,Affärsverken Karlskrona,1.476978759168479,-0.015781385691648886,-0.01140852871799325,-0.008488870724532305,-0.017025319242747194,0.0,-0.034069395788782764,-0.0036240529959652434
