REId,name_short,v_empty,v_full,phi_losses,phi_grid_subscription,phi_grid_connection,phi_feed_in,phi_capacity_reserve,phi_capex_adj,phi_cable,sum_phi
REL00001,Ale El,1.6352773587699154,1.4459271066643797,0.01641348302506533,-0.34442505129565903,-0.016927185878427856,-0.022102039572320112,-0.004114027978212692,0.10185932972888713,0.07994523986513148,-0.18935025210553574
REL00003,Almnäs Bruk,-0.38620463357431634,-0.434596521942332,-0.0644203719899372,-0.13788476572116154,-0.006204775939537252,0.013774842451329013,-0.003951223340756048,0.06158330348979614,0.08871110268225127,-0.04839188836801564
REL00004,Alvesta Elnät,1.350674124709439,0.9534167166133312,-0.09841975651758804,0.829997530932977,-0.006316576703859451,-0.03785351990297083,-0.0038015696039812,-0.09523878844577749,-0.9856247278549075,-0.39725740809610743
REL00005,Arvika Teknik,1.0655690498745596,0.5766547273241107,-0.013801010574317351,-0.46148521358757405,-0.02987335175001351,-0.04333666300756236,-0.005111886707489205,0.002714888283239461,0.061978914793268065,-0.4889143225504489
REL00007,Bengtsfors Energi,1.4169589557065487,1.3305962918163994,-0.040994075708626704,0.045204607406147235,-0.032722148508758264,0.04762545911812893,-0.003829693855399969,-0.18253904469543322,0.08089223235379253,-0.08636266389014946
REL00008,Bergs Tingslags,1.795837131104805,0.65875059668008,-0.06316953866637469,-0.4111808931644778,-0.00523589678427128,-0.6372648699811271,-0.07895592692397245,0.24805484640792358,-0.18933425531242543,-1.137086534424725
REL00010,Bjäre Kraft,1.3259664634293955,0.631316776020574,-0.31187540009470194,-0.3773300192004285,0.11913603246040168,0.01457734705022217,-0.005453714653078803,0.07699713697430377,-0.21070106994553972,-0.6946496874088213
REL00011,Bjärke Energi,1.8244601098569957,1.2144139753799132,-0.05839253193250065,-0.1953367550242834,-0.005224682711454323,-0.010240692304439157,-0.0001627091259577485,0.08366687139140946,-0.4243556347698566,-0.6100461344770823
REL00012,Upplands Energi,1.1189074521764875,1.034893449534846,-0.041856605388162625,-0.1673755926223855,-0.006733193961441178,-0.013568654130135287,-0.003778252985659983,0.11022739261647174,0.03907090382967147,-0.08401400264164136
REL00014,Blåsjön Nät,1.4572802675880236,0.15160415972994556,-0.028532753574407613,-1.1025101638317327,-0.005954064804436603,-0.34252018464926615,-0.029709804720057346,0.2490610822921975,-0.04551021857037517,-1.3056761078580776
REL00015,Bodens Energi,-0.38620463357431634,-0.434596521942332,-0.03213858320317823,-0.1904489058998711,-0.007911317745037208,0.011203238230623195,-0.003948867702512163,0.09386509227655511,0.08098745567540476,-0.048391888368015626
REL00016,Boo Energi,-0.38620463357431634,-0.434596521942332,-0.0644203719899372,-0.13788476572116154,-0.006204775939537252,0.013774842451329013,-0.003951223340756048,0.06158330348979614,0.08871110268225127,-0.04839188836801564
REL00017,Borgholm Energi,1.0524797632176508,1.0976497542894759,-0.005684036106945824,0.07763858026603546,-0.0362504682503517,0.1869164447216838,-0.00406484479883414,-0.19204143881082344,0.018655754051060864,0.045169991071825025
