REId,name_short,phi_mechanic,phi_input,reconciliation,interaction,residual_total,C1_legacy_2in,C4_twosided_1in,published
REL00001,Ale El,-0.12078587534783969,-0.11177706314823288,-4.440892098500626e-16,-0.22355412629646576,-0.232562938496073,1.8244601098569957,1.5918971713609231,1.8244601098569961
REL00003,Almnäs Bruk,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00004,Alvesta Elnät,-0.27497691846664063,-0.13039959499622222,-0.016626349872427948,-0.2693583382968212,-0.4220028633352908,1.737370937528282,1.3319944240654191,1.75399728740071
REL00005,Arvika Teknik,-0.2776902676895121,-0.061194478014092724,-0.05127091034669018,-0.27158601098160595,-0.390155656050295,1.3547169137183568,1.015832168014752,1.405987824065047
REL00007,Bengtsfors Energi,-0.2746933683590913,-0.10396738006431816,-1.660565018823945e-08,-0.2689174148810425,-0.37866076502905965,1.752583054281165,1.3739223058577554,1.752583070886815
REL00008,Bergs Tingslags,-0.27794299679887446,-0.05733858659900948,-0.5032380488651182,-0.2718091339789064,-0.8385196322630022,1.321222060991878,0.985940477593994,1.8244601098569961
REL00010,Bjäre Kraft,-0.27547815736772563,-0.08814992142325284,-0.020014713291760078,-0.26958841916191467,-0.38364279208273855,1.6444480859853616,1.2808200071943832,1.6644627992771217
REL00011,Bjärke Energi,0.0,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,1.8244601098569957,1.8244601098569957,1.8244601098569961
REL00012,Upplands Energi,-0.27708821168532793,-0.11596872081272025,-0.010428089039149713,-0.2713385887626707,-0.4034850215371979,1.4685457284217662,1.075488795923718,1.478973817460916
REL00014,Blåsjön Nät,-0.5189012111907476,0.5722995879777648,8.881784197001252e-16,0.21175031152897983,0.05339837678701809,1.0000000000000009,1.053398376787018,1.0
REL00015,Bodens Energi,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00016,Boo Energi,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00017,Borgholm Energi,-0.27654540474135736,-0.08786438812236064,0.1157131972169041,-0.2706317708145889,-0.2486965956468139,1.513757871879795,1.149348079016077,1.398044674662891
REL00018,Borlänge Energi,-0.7830933889926561,0.39622618602133675,8.881784197001252e-16,0.729332941329297,-0.3868672029713185,1.0000000000000009,0.6131327970286815,1.0
REL00019,Borås Elnät,-0.6013517577530103,0.27656784202315654,8.881784197001252e-16,0.36738415659354207,-0.3247839157298529,1.0000000000000009,0.6752160842701471,1.0
REL00021,Bromölla Energi,-0.31772388635626925,-0.12568892275273136,8.881784197001252e-16,-0.2513778455054627,-0.4434128091089997,1.0000000000000009,0.5565871908910003,1.0
REL00023,C4 Elnät,-0.9465234540525502,0.15846407848638666,8.881784197001252e-16,0.3169281569727733,-0.7880593755661627,1.0000000000000009,0.21194062443383732,1.0
REL00024,Carlfors Bruk,,,0.0,,,1.0,,1.0
REL00025,Degerfors Energi,-0.3377747451891455,-0.11112741328771492,8.881784197001252e-16,-0.22225482657542983,-0.44890215847685955,1.0000000000000009,0.5510978415231405,1.0
REL00029,Övertorneå Energi,-1.2073860914993295,-0.0981820262774713,8.881784197001252e-16,-0.1963640525549426,-1.3055681177768,1.0000000000000009,-0.30556811777679993,1.0
REL00030,Eksjö Elnät,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00031,Emmaboda Elnät,-0.4938230428455648,0.6727364545947467,8.881784197001252e-16,0.1646395572845849,0.17891341174918285,1.0000000000000009,1.1789134117491828,1.0
REL00033,Halmstads Energi,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00035,Eskilstuna Energi,-0.9401361230809591,-0.052246700408897784,8.881784197001252e-16,-0.10449340081779557,-0.992382823489856,1.0000000000000009,0.007617176510144041,1.0
REL00037,Falbygdens Energi,-0.08064953989863621,-0.06911714474717723,-4.440892098500626e-16,-0.13823428949435446,-0.14976668464581389,1.8244601098569957,1.6746934252111823,1.8244601098569961
