dataset,metric_code,metric_name,unit
capital_employed_components,BR72410,Check-räknings-kredit UB,tkr
capital_employed_components,IB72410,"Check-räknings-kredit, IB",tkr
capital_employed_components,IB72510,"Check-räknings-kredit, IB",tkr
capital_employed_components,BR72510,"Check-räknings-kredit, UB",tkr
capital_employed_components,IB72100,"Eget kapital, IB",tkr
capital_employed_components,,Genom-snittlig Checkräknings-kredit,tkr
capital_employed_components,,Genom-snittliga Obligations-lån,tkr
capital_employed_components,,Genom-snittliga Växel-skulder,tkr
capital_employed_components,,"Genom-snittligt Eget kapital, IB/UB",tkr
capital_employed_components,,Genom-snittligt sysselsatt kapital,tkr
capital_employed_components,,Genomsnitliga Skulder till kreditinstitut,tkr
capital_employed_components,,Genomsnittlig Checkräkning-skredit,tkr
capital_employed_components,,Genomsnittliga  Skulder till koncernföretag,tkr
capital_employed_components,,Genomsnittliga Skulder till intresseföretag,tkr
capital_employed_components,,Genomsnittliga Skulder till koncernföretag,tkr
capital_employed_components,,Genomsnittliga skulder till kreditinstitut UB,tkr
capital_employed_components,IB72411,Obligations-lån IB,tkr
capital_employed_components,BR72411,"Obligations-lån, UB",tkr
capital_employed_components,IB72414,Skulder till intresse-företag,tkr
capital_employed_components,IB72516,Skulder till intresse-företag IB,tkr
capital_employed_components,BR72414,Skulder till intresse-företag UB,tkr
capital_employed_components,BR72516,"Skulder till intresse-företag, UB",tkr
capital_employed_components,IB72515,Skulder till koncern-företag,tkr
capital_employed_components,BR72413,Skulder till koncern-företag IB,tkr
capital_employed_components,BR72515,Skulder till koncern-företag UB,tkr
capital_employed_components,IB72413,"Skulder till koncern-företag, UB",tkr
capital_employed_components,BR72412,Skulder till kredit-institut,tkr
capital_employed_components,IB72412,Skulder till kredit-institut,tkr
capital_employed_components,IB72511,"Skulder till kredit-institut, IB",tkr
capital_employed_components,BR72511,"Skulder till kredit-institut, UB",tkr
capital_employed_components,BR72100,"Summa eget kapital, UB",tkr
capital_employed_components,IB72514,Växel-skulder IB,tkr
capital_employed_components,BR72514,Växel-skulder UB,tkr
group_contributions,TU7713332,Erhållna koncernbidrag,ratio
group_contributions,,Erhållna koncernbidrag i förhållande till omsättning,ratio
group_contributions,,Erhållna koncernbidrag i tkr per org.nr,ratio
group_contributions,,Interna lånekostnader i tkr per org.nr,ratio
group_contributions,,Koncernbidrag netto i tkr per org.nr,ratio
group_contributions,,Kostnader för internlån i förhållande till omsättning,ratio
